date,Method,ETF,RMSE
2020-01-02,shap,XLP,0.03903635172792521
2020-01-02,shap,IYR,0.04072940385916753
2020-01-02,shap,XLF,0.060434908420604526
2020-01-02,shap,XLV,0.04219524577909308
2020-01-02,shap,VOX,0.04761546520062307
2020-01-02,shap,XLE,0.070987102772545
2020-01-02,shap,XLU,0.026465564661728277
2020-01-02,shap,XLY,0.04902626040844638
2020-01-02,shap,SPY,0.046267376798704435
2020-01-02,shap,XLB,0.049656884403096145
2020-01-02,shap,XLK,0.05601291140208869
2020-01-02,shap,XLI,0.0583851945085341
2020-02-03,shap,XLB,0.04873003264140751
2020-02-03,shap,XLV,0.03156186780042772
2020-02-03,shap,SPY,0.03716691621310847
2020-02-03,shap,XLI,0.047964846063765464
2020-02-03,shap,XLP,0.024661617049821203
2020-02-03,shap,XLU,0.029333912815331445
2020-02-03,shap,XLK,0.0498933363945773
2020-02-03,shap,IYR,0.033205770380005536
2020-02-03,shap,XLY,0.041928830002142876
2020-02-03,shap,XLE,0.068665978643538
2020-02-03,shap,XLF,0.051002677098459334
2020-02-03,shap,VOX,0.04064366701439494
2020-03-02,shap,XLB,0.05371223221345137
2020-03-02,shap,VOX,0.03492804718355571
2020-03-02,shap,XLP,0.03395071598269354
2020-03-02,shap,XLY,0.04242685501601252
2020-03-02,shap,XLI,0.04980779143468964
2020-03-02,shap,XLK,0.053067661568429576
2020-03-02,shap,XLV,0.03654057316839039
2020-03-02,shap,XLE,0.07785248310686042
2020-03-02,shap,IYR,0.02809382164395024
2020-03-02,shap,SPY,0.040358231932201956
2020-03-02,shap,XLU,0.04004470315815285
2020-03-02,shap,XLF,0.05662077107035008
2020-04-01,shap,XLF,0.08674855704206022
2020-04-01,shap,XLI,0.075868496492043
2020-04-01,shap,XLP,0.03829444035244916
2020-04-01,shap,XLB,0.06860342545295547
2020-04-01,shap,XLU,0.04940589332922546
2020-04-01,shap,VOX,0.056271891567228415
2020-04-01,shap,IYR,0.06787104771865166
2020-04-01,shap,XLV,0.03898043897946372
2020-04-01,shap,XLK,0.05748079391795255
2020-04-01,shap,XLY,0.06349660403876815
2020-04-01,shap,SPY,0.055569121910256924
2020-04-01,shap,XLE,0.1410814060350835
2020-05-01,shap,XLI,0.07880145978965289
2020-05-01,shap,XLF,0.08987875402160289
2020-05-01,shap,XLU,0.05141804326349213
2020-05-01,shap,XLV,0.049470992261277394
2020-05-01,shap,XLB,0.07831849585971823
2020-05-01,shap,XLK,0.06552673708643408
2020-05-01,shap,IYR,0.07109260690191331
2020-05-01,shap,XLP,0.040866479802503096
2020-05-01,shap,VOX,0.06682469243761048
2020-05-01,shap,XLY,0.07779633297454333
2020-05-01,shap,SPY,0.06370454575320882
2020-05-01,shap,XLE,0.15900106355663463
2020-06-01,shap,XLB,0.07969475425957602
2020-06-01,shap,XLI,0.07923207450314729
2020-06-01,shap,XLF,0.0870293773437996
2020-06-01,shap,XLK,0.06590277472877837
2020-06-01,shap,VOX,0.0673727292895004
2020-06-01,shap,IYR,0.07119401045835512
2020-06-01,shap,XLV,0.04888611977289804
