date,Rendimiento,Features,Method,ETF,RMSE,model,hyperparam_method,train_period,val_period
2019-10-03,1,10,shap,SPY,0.0,XGBR,random,36,12
2019-10-03,1,10,shap,XLK,0.020816982234574195,XGBR,random,36,12
2019-10-03,1,10,shap,XLI,0.021165940157463887,XGBR,random,36,12
2019-10-03,1,10,shap,XLF,0.02448151567917421,XGBR,random,36,12
2019-10-03,1,10,shap,XLY,0.015108390277919506,XGBR,random,36,12
2019-10-03,1,10,shap,XLB,0.019991793047482338,XGBR,random,36,12
2019-10-03,1,10,shap,XLE,0.03426507935229916,XGBR,random,36,12
2019-10-03,1,10,shap,XLP,0.037550834331405054,XGBR,random,36,12
2019-10-03,1,10,shap,XLV,0.03108457071910379,XGBR,random,36,12
2019-10-03,1,10,shap,IYR,0.03163212207735807,XGBR,random,36,12
2019-10-03,1,10,shap,VOX,0.020619868433895527,XGBR,random,36,12
2019-10-03,1,10,shap,XLU,0.042958766289260285,XGBR,random,36,12
2019-11-01,1,10,shap,XLK,0.02244956730399543,XGBR,random,36,12
2019-11-01,1,10,shap,XLI,0.021316256090766234,XGBR,random,36,12
2019-11-01,1,10,shap,XLB,0.01942479011106215,XGBR,random,36,12
2019-11-01,1,10,shap,XLE,0.03134358077926436,XGBR,random,36,12
2019-11-01,1,10,shap,SPY,0.0,XGBR,random,36,12
2019-11-01,1,10,shap,XLY,0.016526656242001656,XGBR,random,36,12
2019-11-01,1,10,shap,XLF,0.023679672791146848,XGBR,random,36,12
2019-11-01,1,10,shap,XLP,0.03235026758073276,XGBR,random,36,12
2019-11-01,1,10,shap,IYR,0.031799728415545236,XGBR,random,36,12
2019-11-01,1,10,shap,VOX,0.021773963134256804,XGBR,random,36,12
2019-11-01,1,10,shap,XLV,0.028461786014904362,XGBR,random,36,12
2019-11-01,1,10,shap,XLU,0.0434757607712352,XGBR,random,36,12
2019-12-02,1,10,shap,SPY,0.0,XGBR,random,36,12
2019-12-02,1,10,shap,XLK,0.02023130853412235,XGBR,random,36,12
2019-12-02,1,10,shap,XLY,0.014521417383149302,XGBR,random,36,12
2019-12-02,1,10,shap,XLI,0.017851455283098398,XGBR,random,36,12
2019-12-02,1,10,shap,XLF,0.028052734657962427,XGBR,random,36,12
2019-12-02,1,10,shap,XLP,0.020719546644998196,XGBR,random,36,12
2019-12-02,1,10,shap,XLV,0.032369562473036975,XGBR,random,36,12
2019-12-02,1,10,shap,XLB,0.017720541907524853,XGBR,random,36,12
2019-12-02,1,10,shap,VOX,0.020326530881606356,XGBR,random,36,12
2019-12-02,1,10,shap,IYR,0.02966446312775354,XGBR,random,36,12
2019-12-02,1,10,shap,XLU,0.03964742162475899,XGBR,random,36,12
2019-12-02,1,10,shap,XLE,0.030553222833513746,XGBR,random,36,12
2020-01-02,1,10,shap,SPY,0.0,XGBR,random,36,12
2020-01-02,1,10,shap,XLI,0.018458647132814362,XGBR,random,36,12
2020-01-02,1,10,shap,XLK,0.016968332495685703,XGBR,random,36,12
2020-01-02,1,10,shap,XLY,0.01446228521413736,XGBR,random,36,12
2020-01-02,1,10,shap,XLB,0.018268797358626413,XGBR,random,36,12
2020-01-02,1,10,shap,XLP,0.02003639064707977,XGBR,random,36,12
2020-01-02,1,10,shap,XLF,0.022122426638487704,XGBR,random,36,12
2020-01-02,1,10,shap,XLV,0.027413548503302684,XGBR,random,36,12
2020-01-02,1,10,shap,XLE,0.030035454609432084,XGBR,random,36,12
2020-01-02,1,10,shap,VOX,0.01800322035427802,XGBR,random,36,12
2020-01-02,1,10,shap,IYR,0.03244353348328234,XGBR,random,36,12
2020-01-02,1,10,shap,XLU,0.03979324637810122,XGBR,random,36,12
2019-10-03,1,10,shap,XLE,0.02886742701864894,LGBMR,random,36,12
2019-10-03,1,10,shap,XLB,0.019991864011320082,LGBMR,random,36,12
2019-10-03,1,10,shap,XLI,0.021685901436213916,LGBMR,random,36,12
2019-10-03,1,10,shap,XLK,0.021074450271563853,LGBMR,random,36,12
2019-10-03,1,10,shap,XLF,0.02404282859692704,LGBMR,random,36,12
2019-10-03,1,10,shap,XLP,0.03382466979654213,LGBMR,random,36,12
2019-10-03,1,10,shap,XLY,0.015315809387251904,LGBMR,random,36,12
2019-10-03,1,10,shap,SPY,0.0,LGBMR,random,36,12
2019-10-03,1,10,shap,XLV,0.032046077461224245,LGBMR,random,36,12
2019-10-03,1,10,shap,XLU,0.04383275477181726,LGBMR,random,36,12
2019-10-03,1,10,shap,IYR,0.031939260547100376,LGBMR,random,36,12
2019-10-03,1,10,shap,VOX,0.020989146939583314,LGBMR,random,36,12
2019-11-01,1,10,shap,XLE,0.027839257105517073,LGBMR,random,36,12
2019-11-01,1,10,shap,XLB,0.019828224578415734,LGBMR,random,36,12
2019-11-01,1,10,shap,XLI,0.021562921005951256,LGBMR,random,36,12
2019-11-01,1,10,shap,XLK,0.022964746726887746,LGBMR,random,36,12
