SPY,2019-01-03 00:00:00,selectkbest,UMCSENT,T10Y2Y,TB3MS,month,week_of_year,mean_reversion_score_1m,price_oscillator,obv,adl,cci
XLI,2019-01-03 00:00:00,selectkbest,PPO_3m,PPO_6m,PPO_12m,PPO_24m,ADX_24m,RSI_48m,PPO_48m,ADX_48m,momentum_diff_RSI_24m_48m,price_oscillator
XLK,2019-01-03 00:00:00,selectkbest,kurtosis_6m,RSI_3m,RSI_6m,RSI_12m,RSI_24m,RSI_48m,momentum_diff_RSI_3m_6m,momentum_diff_RSI_6m_12m,momentum_diff_RSI_12m_24m,momentum_diff_RSI_24m_48m
XLB,2019-01-03 00:00:00,selectkbest,open,high,low,RSI_12m,ROC_24m,ADX_24m,momentum_diff_ROC_12m_24m,momentum_diff_ADX_24m_48m,PPIACO,obv
XLE,2019-01-03 00:00:00,selectkbest,open,high,low,ROC_12m,momentum_diff_ROC_6m_12m,momentum_diff_ADX_6m_12m,momentum_diff_ADX_24m_48m,CPIAUCSL,UNRATE,PPIACO
XLY,2019-01-03 00:00:00,selectkbest,open,high,low,kurtosis_24m,RSI_48m,momentum_diff_ADX_12m_24m,momentum_diff_RSI_24m_48m,bollinger_low_12,bollinger_low_24,obv
XLF,2019-01-03 00:00:00,selectkbest,kurtosis_6m,kurtosis_12m,ROC_3m,ADX_3m,ROC_24m,momentum_diff_ROC_3m_6m,bollinger_low_6,BOPGSTB,T10Y2Y,week_of_year
XLU,2019-01-03 00:00:00,selectkbest,ADX_3m,ADX_6m,MACD_12m,MACD_24m,MACD_48m,ADX_48m,momentum_diff_ADX_12m_24m,bollinger_high_6,bollinger_low_12,bollinger_low_48
IYR,2019-01-03 00:00:00,selectkbest,open,high,low,ADX_3m,RSI_12m,momentum_diff_RSI_3m_6m,momentum_diff_ADX_6m_12m,bollinger_high_12,T10Y2Y,week_of_year
VOX,2019-01-03 00:00:00,selectkbest,open,high,low,skewness_24m,RSI_12m,RSI_24m,momentum_diff_RSI_3m_6m,momentum_diff_RSI_6m_12m,momentum_diff_RSI_12m_24m,CPIAUCSL
XLP,2019-01-03 00:00:00,selectkbest,skewness_12m,kurtosis_12m,kurtosis_24m,ADX_48m,momentum_diff_ADX_6m_12m,momentum_diff_ADX_24m_48m,BOPGSTB,PPIACO,price_oscillator,obv
XLV,2019-01-03 00:00:00,selectkbest,skewness_3m,kurtosis_24m,ADX_6m,ADX_48m,bollinger_high_6,bollinger_low_6,bollinger_high_12,bollinger_low_12,bollinger_high_24,PPIACO
SPY,2019-02-01 00:00:00,selectkbest,UMCSENT,T10Y2Y,TB3MS,month,week_of_year,mean_reversion_score_1m,price_oscillator,obv,adl,cci
XLI,2019-02-01 00:00:00,selectkbest,PPO_3m,PPO_6m,PPO_12m,PPO_24m,RSI_48m,PPO_48m,ROC_48m,momentum_diff_RSI_24m_48m,momentum_diff_ADX_24m_48m,price_oscillator
XLK,2019-02-01 00:00:00,selectkbest,kurtosis_6m,RSI_3m,RSI_6m,RSI_12m,RSI_24m,RSI_48m,momentum_diff_RSI_3m_6m,momentum_diff_RSI_6m_12m,momentum_diff_RSI_12m_24m,momentum_diff_RSI_24m_48m
XLY,2019-02-01 00:00:00,selectkbest,open,high,low,kurtosis_24m,RSI_48m,momentum_diff_ADX_12m_24m,momentum_diff_RSI_24m_48m,bollinger_low_12,bollinger_low_24,obv
XLB,2019-02-01 00:00:00,selectkbest,open,high,low,RSI_12m,ROC_24m,ADX_24m,momentum_diff_ROC_12m_24m,bollinger_low_24,PPIACO,obv
XLE,2019-02-01 00:00:00,selectkbest,open,high,low,skewness_3m,ROC_12m,momentum_diff_ROC_6m_12m,momentum_diff_ADX_6m_12m,momentum_diff_ADX_24m_48m,CPIAUCSL,PPIACO
XLF,2019-02-01 00:00:00,selectkbest,kurtosis_6m,kurtosis_12m,ROC_3m,ADX_3m,ROC_24m,momentum_diff_ROC_3m_6m,momentum_diff_ADX_12m_24m,bollinger_low_6,BOPGSTB,T10Y2Y
