date,ETF,Method,model,hyperparam_method,train_period,val_period,RMSE
2019-01-03,IYR,causal,LGBMR,optuna,36,12,0.038869744622840485
2019-01-03,IYR,causal,LGBMR,optuna,60,12,0.03865829595522335
2019-01-03,IYR,causal,LGBMR,random,36,12,0.039767493153646596
2019-01-03,IYR,causal,LGBMR,random,60,12,0.039112649019403894
2019-01-03,IYR,causal,RFR,optuna,36,12,0.037469739334494406
2019-01-03,IYR,causal,RFR,optuna,60,12,0.036806100702351345
2019-01-03,IYR,causal,RFR,random,36,12,0.039402936813276876
2019-01-03,IYR,causal,RFR,random,60,12,0.03729830131042751
2019-01-03,IYR,causal,XGBR,optuna,36,12,0.03987056041299755
2019-01-03,IYR,causal,XGBR,optuna,60,12,0.03993849235684607
2019-01-03,IYR,causal,XGBR,random,36,12,0.038543176018957105
2019-01-03,IYR,causal,XGBR,random,60,12,0.040000391188422094
2019-01-03,IYR,selectkbest,LGBMR,optuna,36,12,0.04097900215561716
2019-01-03,IYR,selectkbest,LGBMR,optuna,60,12,0.04140463166771037
2019-01-03,IYR,selectkbest,LGBMR,random,36,12,0.04070401690271677
2019-01-03,IYR,selectkbest,LGBMR,random,60,12,0.04070401690271677
2019-01-03,IYR,selectkbest,RFR,optuna,36,12,0.039522371783796084
2019-01-03,IYR,selectkbest,RFR,optuna,60,12,0.03940247363248946
2019-01-03,IYR,selectkbest,RFR,random,36,12,0.03950965892815686
2019-01-03,IYR,selectkbest,RFR,random,60,12,0.03950965892815686
2019-01-03,IYR,selectkbest,XGBR,optuna,36,12,0.039471433344789794
2019-01-03,IYR,selectkbest,XGBR,optuna,60,12,0.03958470233629448
2019-01-03,IYR,selectkbest,XGBR,random,36,12,0.04040895669807881
2019-01-03,IYR,selectkbest,XGBR,random,60,12,0.04040895669807881
2019-01-03,IYR,shap,LGBMR,optuna,36,12,0.03886308815907687
2019-01-03,IYR,shap,LGBMR,optuna,60,12,0.0389684001969434
2019-01-03,IYR,shap,LGBMR,random,36,12,0.03935547583287394
2019-01-03,IYR,shap,LGBMR,random,60,12,0.03935547583287394
2019-01-03,IYR,shap,RFR,optuna,36,12,0.035883108362278884
2019-01-03,IYR,shap,RFR,optuna,60,12,0.036170440830855466
2019-01-03,IYR,shap,RFR,random,36,12,0.03612825219265678
2019-01-03,IYR,shap,RFR,random,60,12,0.03612825219265678
2019-01-03,IYR,shap,XGBR,optuna,36,12,0.038616630250345
2019-01-03,IYR,shap,XGBR,optuna,60,12,0.037184898715067694
