date,Method,model,hyperparam_method,train_period,val_period,RMSE
2019-01-03,causal,LGBMR,optuna,36,12,0.03724164006622874
2019-01-03,causal,LGBMR,optuna,60,12,0.03713912531963805
2019-01-03,causal,LGBMR,random,36,12,0.037724049300332775
2019-01-03,causal,LGBMR,random,60,12,0.03765791866393246
2019-01-03,causal,RFR,optuna,36,12,0.036343605353776204
2019-01-03,causal,RFR,optuna,60,12,0.036838395035711846
2019-01-03,causal,RFR,random,36,12,0.03714164123853732
2019-01-03,causal,RFR,random,60,12,0.03657048353220297
2019-01-03,causal,XGBR,optuna,36,12,0.037352350760794
2019-01-03,causal,XGBR,optuna,60,12,0.03754922310658171
2019-01-03,causal,XGBR,random,36,12,0.03705695714159799
2019-01-03,causal,XGBR,random,60,12,0.036954260849822555
2019-01-03,selectkbest,LGBMR,optuna,36,12,0.03692755732414902
2019-01-03,selectkbest,LGBMR,optuna,60,12,0.03694931409452903
2019-01-03,selectkbest,LGBMR,random,36,12,0.03701140548780852
2019-01-03,selectkbest,LGBMR,random,60,12,0.03701140548780852
2019-01-03,selectkbest,RFR,optuna,36,12,0.03755376669762275
2019-01-03,selectkbest,RFR,optuna,60,12,0.03773204668969701
2019-01-03,selectkbest,RFR,random,36,12,0.03730436058684578
2019-01-03,selectkbest,RFR,random,60,12,0.03730436058684578
2019-01-03,selectkbest,XGBR,optuna,36,12,0.03724055569958693
2019-01-03,selectkbest,XGBR,optuna,60,12,0.03726887322355852
2019-01-03,selectkbest,XGBR,random,36,12,0.03735782163837543
2019-01-03,selectkbest,XGBR,random,60,12,0.03735782163837543
2019-01-03,shap,LGBMR,optuna,36,12,0.037795261945141274
2019-01-03,shap,LGBMR,optuna,60,12,0.03778509300667728
2019-01-03,shap,LGBMR,random,36,12,0.03802128990119258
2019-01-03,shap,LGBMR,random,60,12,0.03802128990119258
2019-01-03,shap,RFR,optuna,36,12,0.03664532103947995
2019-01-03,shap,RFR,optuna,60,12,0.036536474329036235
2019-01-03,shap,RFR,random,36,12,0.03677876266049457
2019-01-03,shap,RFR,random,60,12,0.03677876266049457
2019-01-03,shap,XGBR,optuna,36,12,0.03753191116897991
2019-01-03,shap,XGBR,optuna,60,12,0.03714355288441328
2019-01-03,shap,XGBR,random,36,12,0.037021611644235404
2019-01-03,shap,XGBR,random,60,12,0.037021611644235404
2019-02-01,causal,LGBMR,optuna,36,12,0.03891713881592132
2019-02-01,causal,LGBMR,optuna,60,12,0.03858565835777884
2019-02-01,causal,LGBMR,random,36,12,0.03871418684174741
2019-02-01,causal,LGBMR,random,60,12,0.03918452532325049
2019-02-01,causal,RFR,optuna,36,12,0.038177788320345254
2019-02-01,causal,RFR,optuna,60,12,0.038143294188638516
2019-02-01,causal,RFR,random,36,12,0.03805542637752956
2019-02-01,causal,RFR,random,60,12,0.038092118941578566
2019-02-01,causal,XGBR,optuna,36,12,0.038760197953267794
2019-02-01,causal,XGBR,optuna,60,12,0.038782966965821
2019-02-01,causal,XGBR,random,36,12,0.038588144055832295
2019-02-01,causal,XGBR,random,60,12,0.0386405965890238
2019-02-01,selectkbest,LGBMR,optuna,36,12,0.038664841968986625
2019-02-01,selectkbest,LGBMR,optuna,60,12,0.038765090975894596
2019-02-01,selectkbest,LGBMR,random,36,12,0.038463950594136646
2019-02-01,selectkbest,LGBMR,random,60,12,0.038463950594136646
2019-02-01,selectkbest,RFR,optuna,36,12,0.03847871437750658
2019-02-01,selectkbest,RFR,optuna,60,12,0.038295077416056165
2019-02-01,selectkbest,RFR,random,36,12,0.038668333892486764
2019-02-01,selectkbest,RFR,random,60,12,0.038668333892486764
2019-02-01,selectkbest,XGBR,optuna,36,12,0.03916738047514728
