reg_lambda,reg_alpha,num_leaves,n_estimators,max_depth,learning_rate,feature_fraction,bagging_fraction,Modelo,Metodo,ETF,date
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLE,2019-01-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-01-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-01-03
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLI,2019-01-03
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLK,2019-01-03
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLF,2019-01-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLP,2019-01-03
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLY,2019-01-03
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,XLV,2019-01-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,VOX,2019-01-03
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLU,2019-01-03
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,IYR,2019-01-03
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLE,2019-02-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-02-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLI,2019-02-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLK,2019-02-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-02-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLF,2019-02-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLP,2019-02-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLY,2019-02-01
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,XLV,2019-02-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLU,2019-02-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,IYR,2019-02-01
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,VOX,2019-02-01
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLE,2019-03-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-03-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-03-01
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLI,2019-03-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLK,2019-03-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLF,2019-03-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLP,2019-03-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLY,2019-03-01
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,XLV,2019-03-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLU,2019-03-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,VOX,2019-03-01
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,IYR,2019-03-01
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLE,2019-04-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-04-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLI,2019-04-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLK,2019-04-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-04-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLF,2019-04-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLY,2019-04-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLP,2019-04-01
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,XLV,2019-04-01
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,random,XLU,2019-04-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,VOX,2019-04-01
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,IYR,2019-04-01
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLE,2019-05-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-05-01
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,XLI,2019-05-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-05-01
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLK,2019-05-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLF,2019-05-01
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLP,2019-05-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLY,2019-05-01
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,XLV,2019-05-01
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,random,XLU,2019-05-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,VOX,2019-05-01
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,IYR,2019-05-01
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLE,2019-06-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-06-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLI,2019-06-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-06-03
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLK,2019-06-03
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,XLF,2019-06-03
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLP,2019-06-03
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLY,2019-06-03
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLV,2019-06-03
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLU,2019-06-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,VOX,2019-06-03
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,IYR,2019-06-03
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,random,XLE,2019-07-01
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,XLI,2019-07-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-07-01
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLK,2019-07-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-07-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLF,2019-07-01
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,XLP,2019-07-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLY,2019-07-01
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,XLV,2019-07-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLU,2019-07-01
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,VOX,2019-07-01
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,IYR,2019-07-01
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,XLE,2019-08-01
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLI,2019-08-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-08-01
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLK,2019-08-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-08-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLF,2019-08-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLY,2019-08-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLP,2019-08-01
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,XLV,2019-08-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLU,2019-08-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,VOX,2019-08-01
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,IYR,2019-08-01
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,XLE,2019-09-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-09-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-09-03
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLI,2019-09-03
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLK,2019-09-03
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLF,2019-09-03
