date,Method,ETF,RMSE
2023-01-03,shap,XLI,0.07046707672629607
2023-01-03,selectkbest,XLI,0.06983883641206749
2023-01-03,selectkbest,XLE,0.11582881322627463
2023-01-03,estatico,XLK,0.08991642893833034
2023-01-03,causal,XLK,0.08688359998352985
2023-01-03,estatico,XLI,0.07043026688917148
2023-01-03,causal,XLB,0.07214751685673244
2023-01-03,shap,XLB,0.0686913766613539
2023-01-03,estatico,XLB,0.07685300575132276
2023-01-03,estatico,XLE,0.12540859897118123
2023-01-03,shap,XLK,0.08740828300632879
2023-01-03,causal,XLI,0.06937315810877032
2023-01-03,shap,XLE,0.10955045455324101
2023-01-03,causal,XLE,0.1185324188459628
2023-01-03,selectkbest,XLB,0.07318030987865905
2023-01-03,selectkbest,XLK,0.09183206756851979
2023-01-03,shap,XLF,0.06810566287762174
2023-01-03,causal,XLF,0.07152755049745628
2023-01-03,shap,XLP,0.049938302535169315
2023-01-03,causal,XLP,0.050994092923307095
2023-01-03,estatico,XLF,0.07039397902922848
2023-01-03,estatico,XLP,0.049815159811107075
2023-01-03,shap,XLY,0.0957207623216308
2023-01-03,causal,XLY,0.09545491932095984
2023-01-03,estatico,XLY,0.09555007805086325
2023-01-03,selectkbest,XLF,0.0687816258409556
2023-01-03,causal,XLV,0.05151874850755818
2023-01-03,shap,XLV,0.04958548564268755
2023-01-03,selectkbest,XLP,0.05611062216460882
2023-01-03,estatico,XLV,0.05237155049692038
2023-01-03,selectkbest,XLY,0.09420780124522346
2023-01-03,causal,XLU,0.05936240173774451
2023-01-03,shap,XLU,0.059891158627417354
2023-01-03,selectkbest,XLV,0.048995673645706464
2023-01-03,shap,IYR,0.07535116603291708
2023-01-03,estatico,XLU,0.05915710160030302
2023-01-03,causal,IYR,0.07614865168901884
2023-01-03,estatico,IYR,0.07417003577026512
2023-01-03,shap,VOX,0.07232108422754412
2023-01-03,causal,VOX,0.07101865409038072
2023-01-03,selectkbest,XLU,0.057871584290811406
2023-01-03,selectkbest,IYR,0.07549003930686202
2023-01-03,estatico,VOX,0.07655093133212834
2023-01-03,shap,SPY,0.06879457927358609
2023-01-03,causal,SPY,0.06689231632582604
2023-01-03,estatico,SPY,0.0698519496574045
2023-01-03,selectkbest,VOX,0.07179371385514773
2023-01-03,selectkbest,SPY,0.06729530838424085
2023-02-01,shap,XLB,0.07136393166355387
2023-02-01,causal,XLK,0.08765992882033798
2023-02-01,shap,XLK,0.08924611561076526
2023-02-01,selectkbest,XLB,0.07393825502924464
2023-02-01,selectkbest,XLI,0.06909973446201242
2023-02-01,estatico,XLB,0.07547521963066016
2023-02-01,causal,XLB,0.06981569741218636
2023-02-01,selectkbest,XLE,0.1186389861095365
2023-02-01,estatico,XLK,0.09124834501485694
2023-02-01,causal,XLI,0.0690964954518782
2023-02-01,shap,XLI,0.06757420486726136
2023-02-01,estatico,XLI,0.07117636483806093
2023-02-01,causal,XLE,0.12100466761193578
2023-02-01,estatico,XLE,0.1192857415624944
2023-02-01,shap,XLE,0.1185462768230224
2023-02-01,selectkbest,XLK,0.09147615069283886
2023-02-01,shap,XLF,0.0679528580976656
2023-02-01,estatico,XLF,0.06988902706082022
2023-02-01,causal,XLF,0.06797487964529614
2023-02-01,shap,XLP,0.048174953355429075
2023-02-01,estatico,XLP,0.043424189855200815
2023-02-01,causal,XLP,0.046008267228260846
2023-02-01,selectkbest,XLF,0.06477105880517267
2023-02-01,shap,XLY,0.10137648569213872
2023-02-01,causal,XLY,0.1013678596473071
2023-02-01,causal,XLV,0.049649866247831145
2023-02-01,estatico,XLY,0.10160725534541316
2023-02-01,shap,XLV,0.04810320405821641
2023-02-01,estatico,XLV,0.048446330323251977
2023-02-01,selectkbest,XLY,0.10073482936567442
2023-02-01,selectkbest,XLP,0.04654896314047054
2023-02-01,selectkbest,XLV,0.04553545548584184
2023-02-01,causal,XLU,0.054765720351022895
2023-02-01,shap,XLU,0.05577571954159744
2023-02-01,estatico,XLU,0.05509533633225876
2023-02-01,causal,IYR,0.07502307633688872
2023-02-01,shap,IYR,0.07823866679337035
2023-02-01,selectkbest,XLU,0.05339739123950455
2023-02-01,causal,VOX,0.08361887277908242
2023-02-01,estatico,IYR,0.07518672471438195
2023-02-01,estatico,VOX,0.08482276346607456
2023-02-01,shap,VOX,0.08312337336726568
2023-02-01,causal,SPY,0.06766412084877202
2023-02-01,shap,SPY,0.06977158004175542
2023-02-01,selectkbest,IYR,0.0748704877311653
2023-02-01,selectkbest,VOX,0.08333607329461269
2023-02-01,selectkbest,SPY,0.06770365905324562
2023-02-01,estatico,SPY,0.07051808507552423
2023-03-01,shap,XLI,0.0677965613615006
2023-03-01,causal,XLK,0.08399855807268816
2023-03-01,estatico,XLB,0.07573955360077536
2023-03-01,shap,XLK,0.09132577312964793
2023-03-01,causal,XLB,0.06957253402164082
2023-03-01,causal,XLI,0.06815252257263942
2023-03-01,selectkbest,XLI,0.06894212414163714
2023-03-01,shap,XLB,0.07172055456529661
2023-03-01,selectkbest,XLE,0.11249307153347048
2023-03-01,estatico,XLE,0.10813675273270514
2023-03-01,estatico,XLK,0.08930940973550688
2023-03-01,estatico,XLI,0.0689787763311392
2023-03-01,causal,XLE,0.10165111578779731
2023-03-01,selectkbest,XLB,0.07037397161079217
2023-03-01,shap,XLE,0.10404912312560767
2023-03-01,shap,XLF,0.06478447356691237
2023-03-01,causal,XLF,0.06956797461191605
2023-03-01,selectkbest,XLK,0.08798455267175527
2023-03-01,estatico,XLF,0.07166454105018784
2023-03-01,causal,XLP,0.04846045698424332
2023-03-01,shap,XLP,0.04883971155162033
2023-03-01,estatico,XLP,0.04442202621118712
2023-03-01,causal,XLY,0.09731568382146699
2023-03-01,shap,XLY,0.09663713504597682
2023-03-01,selectkbest,XLF,0.06577403030248587
2023-03-01,estatico,XLY,0.09600485087646878
2023-03-01,causal,XLV,0.05177624055520021
2023-03-01,estatico,XLV,0.0464011791618158
2023-03-01,shap,XLV,0.048653553661561294
2023-03-01,selectkbest,XLP,0.04834267592658547
