ETF,causal,estatico,selectkbest,shap
IYR,0.06691457950816919,0.06712314917280694,0.06753177605287859,0.06869668628070777
SPY,0.05744829640899811,0.059382330698216995,0.057693116369949955,0.05882759134150776
VOX,0.07119198822938383,0.07192298544068665,0.07029407961231648,0.07057386827272141
XLB,0.0670467532042779,0.07168878401867898,0.06885548767555863,0.06871361265803852
XLE,0.08826750092136532,0.09312163859571897,0.09178111573249824,0.08795691637076526
XLF,0.06736001366365359,0.0674879321435131,0.06584275212039582,0.06618578539297555
XLI,0.06411514188622663,0.06368328801721518,0.06352473260232086,0.06272091711480761
XLK,0.07624804856753506,0.07976666174801297,0.07785199919824179,0.07708486420167779
XLP,0.04770776876982928,0.0448532353147734,0.049080448863587096,0.05212291095963766
XLU,0.05310298647645658,0.053084103220959696,0.051779901769231716,0.053933947942519045
XLV,0.04407598291357864,0.042841918097317126,0.042488810717717845,0.04441327947003188
XLY,0.08356462140634494,0.08362303881055638,0.08278204569740437,0.08417179366505699
