XLE,2020-01-02 00:00:00,shap,open,price_oscillator,ROC_6m,obv,momentum_diff_ROC_12m_24m,skewness_6m,BOPGSTB,RSI_6m,volume,skewness_3m
XLE,2020-01-02 00:00:00,causal,obv,momentum_diff_ROC_12m_24m,price_oscillator,low,open,month,ROC_6m,bollinger_low_12,bollinger_low_3,high
XLE,2020-01-02 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLB,2020-01-02 00:00:00,shap,bollinger_low_6,obv,RSI_12m,ADX_3m,momentum_diff_ROC_3m_6m,RSI_3m,ROC_48m,price_oscillator,BOPGSTB,PPO_3m
XLB,2020-01-02 00:00:00,causal,skewness_24m,ADX_3m,obv,bollinger_low_6,ROC_48m,skewness_3m,high,skewness_6m,skewness_12m,BOPGSTB
XLB,2020-01-02 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLI,2020-01-02 00:00:00,shap,skewness_24m,ROC_6m,kurtosis_24m,skewness_6m,obv,momentum_diff_ROC_24m_48m,bollinger_high_12,momentum_diff_ROC_12m_24m,kurtosis_12m,price_oscillator
XLI,2020-01-02 00:00:00,causal,CPIAUCSL,momentum_diff_ROC_3m_6m,ROC_6m,bollinger_low_3,obv,kurtosis_12m,bollinger_low_6,skewness_6m,week_of_year,adl
XLI,2020-01-02 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLE,2020-01-02 00:00:00,selectkbest,open,high,low,close_or,kurtosis_6m,ROC_6m,momentum_diff_ROC_3m_6m,bollinger_low_24,UNRATE,obv
XLK,2020-01-02 00:00:00,shap,ROC_24m,open,skewness_3m,skewness_6m,momentum_diff_ADX_12m_24m,obv,price_oscillator,MACD_3m,bollinger_high_48,momentum_diff_ROC_6m_12m
XLK,2020-01-02 00:00:00,causal,obv,CPIAUCSL,bollinger_low_12,bollinger_high_6,bollinger_high_12,momentum_diff_ROC_12m_24m,momentum_diff_ROC_3m_6m,skewness_6m,skewness_3m,skewness_12m
XLB,2020-01-02 00:00:00,selectkbest,PPO_3m,PPO_6m,PPO_12m,MACD_24m,PPO_24m,ROC_24m,MACD_48m,PPO_48m,ROC_48m,momentum_diff_ROC_24m_48m
XLK,2020-01-02 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLI,2020-01-02 00:00:00,selectkbest,skewness_6m,skewness_24m,kurtosis_24m,MACD_3m,MACD_6m,MACD_12m,MACD_24m,MACD_48m,ROC_48m,momentum_diff_ROC_24m_48m
XLK,2020-01-02 00:00:00,selectkbest,MACD_3m,MACD_6m,MACD_12m,ROC_12m,RSI_24m,MACD_24m,MACD_48m,momentum_diff_ADX_24m_48m,month,adl
XLF,2020-01-02 00:00:00,shap,CPIAUCSL,open,momentum_diff_ROC_3m_6m,price_oscillator,BOPGSTB,obv,kurtosis_24m,momentum_diff_ROC_12m_24m,bollinger_low_6,ADX_6m
XLF,2020-01-02 00:00:00,causal,CPIAUCSL,price_oscillator,bollinger_low_6,RSI_12m,bollinger_low_3,obv,bollinger_high_3,momentum_diff_ROC_3m_6m,skewness_24m,adl
XLF,2020-01-02 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLP,2020-01-02 00:00:00,shap,ADX_3m,bollinger_low_3,momentum_diff_ADX_3m_6m,bollinger_high_12,bollinger_low_12,ROC_6m,kurtosis_6m,price_oscillator,obv,bollinger_high_48
XLP,2020-01-02 00:00:00,causal,bollinger_low_3,adl,bollinger_low_12,ADX_3m,momentum_diff_ROC_3m_6m,skewness_3m,volume,RSI_6m,bollinger_high_6,momentum_diff_ADX_3m_6m
XLP,2020-01-02 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLF,2020-01-02 00:00:00,selectkbest,MACD_3m,ADX_3m,MACD_6m,MACD_12m,ADX_12m,RSI_24m,MACD_24m,ADX_24m,MACD_48m,price_oscillator
XLY,2020-01-02 00:00:00,shap,obv,CPIAUCSL,bollinger_high_6,momentum_diff_ADX_3m_6m,ROC_12m,ADX_6m,skewness_12m,skewness_24m,MACD_3m,price_oscillator
XLY,2020-01-02 00:00:00,causal,CPIAUCSL,bollinger_high_6,bollinger_high_12,ADX_6m,ROC_12m,obv,skewness_12m,bollinger_low_3,bollinger_low_6,price_oscillator
XLV,2020-01-02 00:00:00,causal,bollinger_high_3,momentum_diff_ROC_12m_24m,PPO_3m,BOPGSTB,skewness_24m,kurtosis_24m,skewness_3m,ADX_48m,kurtosis_6m,bollinger_low_12
XLY,2020-01-02 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLV,2020-01-02 00:00:00,shap,momentum_diff_ROC_12m_24m,bollinger_high_3,PPO_3m,RSI_6m,bollinger_high_6,adl,skewness_3m,kurtosis_24m,price_oscillator,ROC_6m
XLP,2020-01-02 00:00:00,selectkbest,kurtosis_24m,MACD_3m,ADX_3m,MACD_6m,MACD_12m,MACD_24m,RSI_48m,MACD_48m,momentum_diff_ADX_3m_6m,momentum_diff_RSI_24m_48m
XLV,2020-01-02 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLY,2020-01-02 00:00:00,selectkbest,MACD_3m,ROC_3m,MACD_6m,MACD_12m,RSI_24m,MACD_24m,RSI_48m,MACD_48m,momentum_diff_RSI_24m_48m,momentum_diff_ROC_24m_48m
XLV,2020-01-02 00:00:00,selectkbest,MACD_3m,MACD_6m,MACD_12m,MACD_24m,ROC_24m,MACD_48m,momentum_diff_ROC_12m_24m,momentum_diff_RSI_24m_48m,bollinger_high_3,PPIACO
XLU,2020-01-02 00:00:00,shap,bollinger_high_6,momentum_diff_RSI_6m_12m,volume,skewness_3m,kurtosis_24m,ADX_24m,bollinger_low_6,kurtosis_12m,MACD_3m,bollinger_high_48
XLU,2020-01-02 00:00:00,causal,bollinger_high_6,volume,momentum_diff_ROC_3m_6m,skewness_3m,momentum_diff_RSI_6m_12m,ADX_3m,bollinger_high_12,ROC_24m,momentum_diff_ADX_6m_12m,RSI_48m
XLU,2020-01-02 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
IYR,2020-01-02 00:00:00,shap,kurtosis_6m,momentum_diff_ROC_12m_24m,PPO_3m,ROC_12m,BOPGSTB,kurtosis_24m,volume,bollinger_low_3,bollinger_high_3,skewness_24m
XLU,2020-01-02 00:00:00,selectkbest,MACD_3m,MACD_6m,MACD_12m,MACD_24m,MACD_48m,momentum_diff_ROC_3m_6m,momentum_diff_ADX_3m_6m,momentum_diff_RSI_24m_48m,bollinger_high_6,bollinger_high_12
IYR,2020-01-02 00:00:00,causal,CPIAUCSL,obv,momentum_diff_ROC_12m_24m,bollinger_low_6,volume,ROC_12m,RSI_24m,kurtosis_6m,skewness_3m,bollinger_high_3
IYR,2020-01-02 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
VOX,2020-01-02 00:00:00,causal,CPIAUCSL,skewness_6m,skewness_3m,ADX_12m,bollinger_high_6,ROC_12m,adl,MACD_3m,price_oscillator,RSI_24m
VOX,2020-01-02 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
VOX,2020-01-02 00:00:00,shap,ADX_12m,skewness_6m,skewness_3m,ROC_12m,bollinger_high_6,volume,bollinger_low_3,skewness_48m,RSI_12m,MACD_3m
SPY,2020-01-02 00:00:00,shap,kurtosis_6m,CPIAUCSL,bollinger_high_6,obv,momentum_diff_RSI_24m_48m,volume,MACD_3m,price_oscillator,kurtosis_48m,bollinger_high_12
SPY,2020-01-02 00:00:00,causal,CPIAUCSL,RSI_12m,price_oscillator,kurtosis_48m,bollinger_low_12,bollinger_low_6,momentum_diff_ROC_3m_6m,kurtosis_12m,ROC_6m,volume
IYR,2020-01-02 00:00:00,selectkbest,skewness_6m,kurtosis_6m,skewness_12m,ROC_12m,RSI_24m,MACD_24m,MACD_48m,momentum_diff_ROC_6m_12m,momentum_diff_ROC_12m_24m,price_oscillator
VOX,2020-01-02 00:00:00,selectkbest,volume,skewness_3m,skewness_6m,MACD_3m,MACD_6m,MACD_12m,MACD_24m,MACD_48m,month,obv
SPY,2020-01-02 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
SPY,2020-01-02 00:00:00,selectkbest,MACD_3m,MACD_6m,ROC_6m,MACD_12m,RSI_24m,MACD_24m,MACD_48m,momentum_diff_ROC_3m_6m,momentum_diff_ROC_6m_12m,adl
