date,Method,ETF,RMSE
2020-01-02,estatico,XLB,0.04956907311434518
2020-01-02,causal,XLK,0.05662261870959918
2020-01-02,causal,XLI,0.057360751099869677
2020-01-02,selectkbest,XLB,0.04947943460375777
2020-01-02,shap,XLI,0.05701623902687562
2020-01-02,estatico,XLE,0.07095740989814904
2020-01-02,shap,XLE,0.0678352746152503
2020-01-02,estatico,XLK,0.056528088798741105
2020-01-02,estatico,XLI,0.05617307126791196
2020-01-02,shap,XLK,0.0556822547507861
2020-01-02,selectkbest,XLE,0.06737579528453719
2020-01-02,causal,XLE,0.06763270866576891
2020-01-02,shap,XLB,0.04963786366560096
2020-01-02,causal,XLB,0.04947328339766125
2020-01-02,selectkbest,XLI,0.05702271370919946
2020-01-02,selectkbest,XLK,0.0559590418079257
2020-01-02,shap,XLF,0.0634793315480758
2020-01-02,causal,XLF,0.06180826394114338
2020-01-02,estatico,XLF,0.06239576941441561
2020-01-02,shap,XLP,0.03736599512217538
2020-01-02,causal,XLP,0.037088163944558085
2020-01-02,estatico,XLP,0.03986006449622191
2020-01-02,selectkbest,XLF,0.061897788835005026
2020-01-02,shap,XLY,0.04817026877123331
2020-01-02,causal,XLY,0.04858886317412505
2020-01-02,causal,XLV,0.040201897573466205
2020-01-02,estatico,XLY,0.04909104131234514
2020-01-02,shap,XLV,0.04387434882358212
2020-01-02,selectkbest,XLP,0.03666735205362388
2020-01-02,estatico,XLV,0.04222491524437134
2020-01-02,selectkbest,XLY,0.04900535817635562
2020-01-02,selectkbest,XLV,0.04179557967627933
2020-01-02,shap,XLU,0.02721535875790214
2020-01-02,causal,XLU,0.029334199401522522
2020-01-02,estatico,XLU,0.027290525716085975
2020-01-02,shap,IYR,0.03959887140976159
2020-01-02,selectkbest,XLU,0.02580583359342346
2020-01-02,causal,IYR,0.04063648000720718
2020-01-02,estatico,IYR,0.04110297783816661
2020-01-02,causal,VOX,0.04915455363665389
2020-01-02,estatico,VOX,0.04780132606015479
2020-01-02,shap,VOX,0.048128619377393066
2020-01-02,shap,SPY,0.04664430448603396
2020-01-02,causal,SPY,0.04717329765824613
2020-01-02,selectkbest,IYR,0.042162848476630786
2020-01-02,selectkbest,VOX,0.04780173308453142
2020-01-02,estatico,SPY,0.04636904610431311
2020-01-02,selectkbest,SPY,0.04631389707984718
2020-02-03,shap,XLK,0.05101954763545802
2020-02-03,causal,XLE,0.06532555746905416
2020-02-03,causal,XLK,0.051564252646076024
2020-02-03,causal,XLB,0.04920772871027479
2020-02-03,estatico,XLK,0.050719565914494474
2020-02-03,estatico,XLE,0.06908253967021392
2020-02-03,shap,XLI,0.04679041929765096
2020-02-03,selectkbest,XLB,0.04891627027449899
2020-02-03,causal,XLI,0.0463791847979325
2020-02-03,shap,XLE,0.0656279041606515
2020-02-03,shap,XLB,0.05001719842518851
2020-02-03,estatico,XLB,0.04888093489317149
2020-02-03,selectkbest,XLI,0.0467139480243961
2020-02-03,estatico,XLI,0.046178501930002176
2020-02-03,selectkbest,XLE,0.06585727152830369
2020-02-03,selectkbest,XLK,0.04960949197395235
2020-02-03,shap,XLF,0.05399204657375499
2020-02-03,causal,XLF,0.05500694244634371
2020-02-03,estatico,XLF,0.0531504098573579
2020-02-03,shap,XLP,0.02519410509640957
2020-02-03,causal,XLP,0.027947079214078296
2020-02-03,estatico,XLP,0.02834599070919127
2020-02-03,selectkbest,XLF,0.052332179001870614
2020-02-03,shap,XLY,0.041298458169649624
2020-02-03,causal,XLY,0.04138485809963502
2020-02-03,estatico,XLY,0.04145648684597536
2020-02-03,shap,XLV,0.0314118168295087
2020-02-03,causal,XLV,0.03146300590936482
2020-02-03,selectkbest,XLP,0.025873263640413445
2020-02-03,estatico,XLV,0.03156200044740438
2020-02-03,selectkbest,XLY,0.04138927528013021
2020-02-03,selectkbest,XLV,0.0315563428214188
2020-02-03,shap,XLU,0.028236135624266592
2020-02-03,causal,XLU,0.03161724871832534
2020-02-03,estatico,XLU,0.027604821093901003
2020-02-03,shap,IYR,0.030089955819650918
2020-02-03,causal,IYR,0.03344524958585054
2020-02-03,selectkbest,XLU,0.028695593675631674
2020-02-03,estatico,IYR,0.03366901320895804
2020-02-03,estatico,VOX,0.04122719342203929
2020-02-03,causal,VOX,0.04364192237187091
2020-02-03,shap,VOX,0.04140735740197606
2020-02-03,shap,SPY,0.037303545165118426
2020-02-03,selectkbest,IYR,0.03253577875204967
2020-02-03,causal,SPY,0.03773157738224863
2020-02-03,estatico,SPY,0.03737022470517314
2020-02-03,selectkbest,VOX,0.04116610703698165
2020-02-03,selectkbest,SPY,0.03737022470517314
2020-03-02,causal,XLB,0.053173022290607455
2020-03-02,estatico,XLK,0.0548666484034065
2020-03-02,causal,XLK,0.05504066687160971
2020-03-02,selectkbest,XLB,0.05402933341466802
2020-03-02,causal,XLI,0.04777680964651226
2020-03-02,estatico,XLI,0.04766507436788113
2020-03-02,shap,XLK,0.05477131748809805
2020-03-02,estatico,XLE,0.07743906743510647
2020-03-02,shap,XLE,0.07681259323867025
2020-03-02,shap,XLI,0.048485472101767214
2020-03-02,selectkbest,XLE,0.07776066132376765
2020-03-02,selectkbest,XLI,0.04846373417056162
2020-03-02,causal,XLE,0.07526987825043396
2020-03-02,shap,XLB,0.054088878377744495
2020-03-02,estatico,XLB,0.05353258267144062
2020-03-02,selectkbest,XLK,0.053362388151642265
2020-03-02,shap,XLF,0.05766492650578725
2020-03-02,causal,XLF,0.05777730751628917
2020-03-02,estatico,XLF,0.05760146063294117
2020-03-02,shap,XLP,0.0327181094280405
2020-03-02,causal,XLP,0.035387481414979056
2020-03-02,estatico,XLP,0.033977265261211635
2020-03-02,selectkbest,XLF,0.056956831188705925
2020-03-02,estatico,XLY,0.04285644295665755
2020-03-02,causal,XLY,0.042556659450945875
2020-03-02,shap,XLY,0.04294430505445051
2020-03-02,shap,XLV,0.03487736468465025
2020-03-02,causal,XLV,0.030794178419865693
2020-03-02,estatico,XLV,0.036425769794692704
2020-03-02,selectkbest,XLP,0.03244556175435891
2020-03-02,selectkbest,XLY,0.04229935478324327
2020-03-02,shap,XLU,0.040851961629929406
2020-03-02,causal,XLU,0.04168265495732487
2020-03-02,selectkbest,XLV,0.035138917135274894
2020-03-02,estatico,XLU,0.04027403474388592
2020-03-02,shap,IYR,0.027592541271541718
2020-03-02,causal,IYR,0.028104329803351
2020-03-02,selectkbest,XLU,0.04313643390992433
2020-03-02,shap,VOX,0.03440418814446324
2020-03-02,causal,VOX,0.03526111213779363
2020-03-02,estatico,IYR,0.02881740144694662
2020-03-02,estatico,VOX,0.034520016761922796
2020-03-02,shap,SPY,0.04016764179017794
2020-03-02,selectkbest,IYR,0.028292687734555445
2020-03-02,causal,SPY,0.040349787521262934
2020-03-02,selectkbest,VOX,0.03410968136690555
2020-03-02,estatico,SPY,0.04028204961328173
2020-03-02,selectkbest,SPY,0.04036847717541608
2020-04-01,estatico,XLB,0.06747240725345423
2020-04-01,estatico,XLI,0.07417004691917647
2020-04-01,selectkbest,XLI,0.07435855426741146
2020-04-01,shap,XLE,0.14268877714115086
2020-04-01,causal,XLI,0.07440682230154333
2020-04-01,shap,XLI,0.07368460584334026
2020-04-01,causal,XLB,0.06824980030185405
2020-04-01,estatico,XLE,0.1426720159581392
2020-04-01,shap,XLB,0.06844000807591141
2020-04-01,estatico,XLK,0.05785830216806368
2020-04-01,shap,XLK,0.057962803774918074
2020-04-01,selectkbest,XLE,0.14362548090136149
2020-04-01,causal,XLE,0.14222388703479447
2020-04-01,causal,XLK,0.05791334122842765
2020-04-01,selectkbest,XLB,0.06912730677687214
2020-04-01,selectkbest,XLK,0.05741898557162204
2020-04-01,shap,XLF,0.0827481504326205
2020-04-01,causal,XLF,0.08532698676519614
2020-04-01,estatico,XLF,0.08597404960925316
2020-04-01,shap,XLP,0.03695628847745675
2020-04-01,causal,XLP,0.0353760747997415
2020-04-01,estatico,XLP,0.03826242557137975
2020-04-01,selectkbest,XLF,0.086205178381741
2020-04-01,shap,XLY,0.06317139900115548
2020-04-01,causal,XLY,0.06323353172371324
2020-04-01,estatico,XLY,0.06398414620252159
2020-04-01,shap,XLV,0.038241248227898934
2020-04-01,causal,XLV,0.03556284919990196
2020-04-01,selectkbest,XLP,0.038097770941051635
2020-04-01,estatico,XLV,0.03885291674606034
2020-04-01,selectkbest,XLY,0.063295652307511
2020-04-01,selectkbest,XLV,0.03847241404492612
2020-04-01,shap,XLU,0.04964816005454564
2020-04-01,causal,XLU,0.04858685050197192
2020-04-01,estatico,XLU,0.049463194524698356
2020-04-01,shap,IYR,0.06529592820218619
2020-04-01,causal,IYR,0.06461148511480826
2020-04-01,estatico,IYR,0.06612556948979993
2020-04-01,selectkbest,XLU,0.050434166747893014
2020-04-01,causal,VOX,0.0545106813123427
2020-04-01,shap,VOX,0.0545014874971875
2020-04-01,estatico,VOX,0.0541342019197586
2020-04-01,shap,SPY,0.0554094635175381
2020-04-01,causal,SPY,0.05535203190878046
2020-04-01,selectkbest,IYR,0.06482080596803542
2020-04-01,estatico,SPY,0.055513204749116925
2020-04-01,selectkbest,SPY,0.055513204749116925
2020-04-01,selectkbest,VOX,0.0544163750192688
2020-05-01,selectkbest,XLE,0.15906336373397775
2020-05-01,estatico,XLB,0.07775766669446409
2020-05-01,estatico,XLI,0.07718198467177904
2020-05-01,causal,XLE,0.15834333212473056
2020-05-01,selectkbest,XLB,0.0784968417582704
2020-05-01,causal,XLI,0.07729855796516201
2020-05-01,shap,XLE,0.15976749426141074
2020-05-01,shap,XLK,0.06606130356810318
2020-05-01,causal,XLB,0.0778914296831411
2020-05-01,causal,XLK,0.06602912769843272
2020-05-01,shap,XLB,0.07803181989390447
2020-05-01,shap,XLI,0.07756177356102664
2020-05-01,estatico,XLE,0.1599352152856773
2020-05-01,estatico,XLK,0.0662379737132367
2020-05-01,selectkbest,XLI,0.07750054227004201
2020-05-01,selectkbest,XLK,0.06558001418736183
2020-05-01,shap,XLF,0.0877482521621852
2020-05-01,causal,XLF,0.08941707293289315
2020-05-01,estatico,XLF,0.08979254586281832
2020-05-01,causal,XLP,0.03822475066218503
2020-05-01,shap,XLP,0.03969503665923541
2020-05-01,estatico,XLP,0.04084005898952525
2020-05-01,selectkbest,XLF,0.09034780436750456
2020-05-01,shap,XLY,0.07765469650206892
2020-05-01,causal,XLY,0.07740666439503278
2020-05-01,estatico,XLY,0.07765012710213735
2020-05-01,shap,XLV,0.04687075520700925
2020-05-01,causal,XLV,0.045787195236476654
2020-05-01,selectkbest,XLP,0.040294187802331155
2020-05-01,estatico,XLV,0.049467480712881734
2020-05-01,selectkbest,XLY,0.07764279477476049
2020-05-01,selectkbest,XLV,0.04857964517768003
2020-05-01,shap,XLU,0.050374250454954334
2020-05-01,causal,XLU,0.04788481576478446
2020-05-01,estatico,XLU,0.04990264331753166
2020-05-01,shap,IYR,0.07019245322596639
2020-05-01,causal,IYR,0.06843911758860105
2020-05-01,estatico,IYR,0.06994202941672659
2020-05-01,selectkbest,XLU,0.05025921503454368
2020-05-01,shap,VOX,0.06560772064617859
2020-05-01,causal,VOX,0.06672866856619272
2020-05-01,estatico,VOX,0.06546832528457189
2020-05-01,shap,SPY,0.06339794310102805
2020-05-01,selectkbest,IYR,0.0687154517712811
2020-05-01,causal,SPY,0.06342930291707567
2020-05-01,selectkbest,SPY,0.06368947321614964
2020-05-01,estatico,SPY,0.06368947321614964
2020-05-01,selectkbest,VOX,0.06650330387753287
2020-06-01,selectkbest,XLE,0.15924524467377876
2020-06-01,shap,XLB,0.07894787197395113
2020-06-01,causal,XLK,0.06553281549883926
2020-06-01,shap,XLE,0.15925889376906632
2020-06-01,estatico,XLB,0.07868993570693195
2020-06-01,selectkbest,XLB,0.08010780524728717
2020-06-01,causal,XLB,0.07842278900452067
2020-06-01,causal,XLI,0.07861899037153228
2020-06-01,shap,XLK,0.06379180595891186
2020-06-01,estatico,XLI,0.07828640177578083
2020-06-01,selectkbest,XLI,0.0789214177808403
2020-06-01,causal,XLE,0.15812259415346125
2020-06-01,estatico,XLK,0.06614306333501101
2020-06-01,estatico,XLE,0.15938330530542133
2020-06-01,shap,XLI,0.07815124832425391
2020-06-01,selectkbest,XLK,0.06598530608611548
2020-06-01,shap,XLF,0.08721772954489637
2020-06-01,causal,XLF,0.08650027680788001
2020-06-01,estatico,XLF,0.08690052966859907
2020-06-01,shap,XLP,0.039829115918702
2020-06-01,causal,XLP,0.037988875792421065
2020-06-01,estatico,XLP,0.04051843038140638
2020-06-01,selectkbest,XLF,0.08657240066340617
2020-06-01,shap,XLY,0.07773317390113317
2020-06-01,causal,XLY,0.07785462795427707
2020-06-01,estatico,XLY,0.07809290998845878
2020-06-01,causal,XLV,0.048320669468298084
2020-06-01,shap,XLV,0.046423446431415806
2020-06-01,selectkbest,XLP,0.03961679630229739
2020-06-01,estatico,XLV,0.04892654026028883
2020-06-01,selectkbest,XLY,0.07767359470555772
2020-06-01,selectkbest,XLV,0.04820133674405986
2020-06-01,shap,XLU,0.05060127051082638
