ETF,causal,estatico,selectkbest,shap
IYR,0.06145570859258968,0.06258982250529808,0.06178086446440013,0.061544433834715674
SPY,0.05798317111234825,0.057853172644902244,0.05758128001436597,0.057725774877808805
VOX,0.06191152522314393,0.06164872616502588,0.06177081382113804,0.0612078920732353
XLB,0.0685897459746123,0.06843090052443351,0.06983114040342148,0.06906493369573817
XLE,0.13830505165036117,0.1398305271156718,0.13910447480926946,0.13945877283791272
XLF,0.0796662152468355,0.07949400727845303,0.07968232479525718,0.07941417565100746
XLI,0.0715951983622564,0.07156346231098586,0.07180331302851581,0.07103336160926456
XLK,0.06363947564915241,0.06414559592297281,0.06316643003402916,0.06320263152158015
XLP,0.0381019841259581,0.03996010719973659,0.03859606334258043,0.03863850860140647
XLU,0.047787739981836136,0.04870959838728927,0.04927845136490003,0.0487003330080678
XLV,0.043191780132528716,0.04583684871062326,0.045183832662008365,0.04382163520240413
XLY,0.06894439455841937,0.06938541406321636,0.06876305945274044,0.06885335477826003
