reg_lambda,reg_alpha,num_leaves,n_estimators,max_depth,learning_rate,feature_fraction,bagging_fraction,Modelo,Metodo,ETF,date
1.5,0.5,31,100,15,0.01,0.8,0.6,LGBMR,0,XLE,2019-12-31
1.5,0.5,31,100,15,0.01,0.8,0.6,LGBMR,0,XLE,2019-12-31
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,0,XLE,2019-12-31
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,0,XLB,2019-12-31
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,0,XLB,2019-12-31
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,0,XLB,2019-12-31
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,0,XLI,2019-12-31
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,0,XLI,2019-12-31
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,0,XLI,2019-12-31
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,0,XLE,2019-12-31
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,0,XLK,2019-12-31
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,0,XLK,2019-12-31
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,0,XLB,2019-12-31
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,0,XLK,2019-12-31
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,0,XLI,2019-12-31
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,0,XLK,2019-12-31
1.5,0.5,31,100,15,0.01,0.8,0.6,LGBMR,0,XLF,2019-12-31
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,0,XLF,2019-12-31
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,0,XLF,2019-12-31
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,0,XLP,2019-12-31
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,0,XLP,2019-12-31
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,0,XLP,2019-12-31
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,0,XLF,2019-12-31
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,0,XLY,2019-12-31
