ETF,causal,estatico,selectkbest,shap
IYR,0.06797121314468618,0.07020210312712381,0.06972735978439464,0.07005623075383254
SPY,0.053443507061350065,0.06429224622381367,0.06128522639471382,0.05633494607832157
VOX,0.07081121211480103,0.08131048959006906,0.06698949687506063,0.06913864701506116
XLB,0.06433233828118576,0.07042977872908907,0.06615702802472725,0.06436635667571103
XLE,0.08826042552428498,0.09288259617855342,0.09273345209023637,0.0873509330087831
XLF,0.07089525683529793,0.06861642546342098,0.06348497258593414,0.06756084607673288
XLI,0.06475586111764163,0.05912440675407371,0.05579217783100275,0.05931237533765556
XLK,0.07601434528592517,0.08383833532568345,0.08515957527371384,0.07657869917052786
XLP,0.04703691527335052,0.04761511906627898,0.053787879791494464,0.04933605450142926
XLU,0.052361208447015625,0.05380758362088131,0.05087125402512127,0.05266055922437229
XLV,0.04441002326856823,0.04113047401241296,0.042765956946228166,0.041299180936696905
XLY,0.08518187806874575,0.09078710951651382,0.07804793141851213,0.08826162345645873
