n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,Modelo,Metodo,ETF,date
50,24,6,3,log2,RFR,5,XLI,2022-12-31
56,29,2,3,log2,RFR,5,XLB,2022-12-31
50,13,6,2,sqrt,RFR,5,XLY,2022-12-31
56,13,3,3,log2,RFR,5,IYR,2022-12-31
175,20,5,3,sqrt,RFR,5,XLP,2022-12-31
61,22,5,3,log2,RFR,5,XLK,2022-12-31
98,13,6,3,log2,RFR,5,SPY,2022-12-31
103,30,6,3,sqrt,RFR,5,VOX,2022-12-31
50,14,2,3,log2,RFR,5,XLE,2022-12-31
156,20,3,3,sqrt,RFR,5,XLF,2022-12-31
167,22,2,3,log2,RFR,5,XLV,2022-12-31
199,16,5,3,log2,RFR,5,XLU,2022-12-31
54,19,3,3,sqrt,RFR,5,XLB,2023-01-31
56,25,3,3,log2,RFR,5,XLI,2023-01-31
76,17,3,3,log2,RFR,5,XLK,2023-01-31
83,20,2,3,sqrt,RFR,5,XLU,2023-01-31
51,21,4,3,sqrt,RFR,5,XLF,2023-01-31
116,25,6,1,log2,RFR,5,IYR,2023-01-31
105,19,3,2,sqrt,RFR,5,XLY,2023-01-31
148,15,5,3,log2,RFR,5,XLE,2023-01-31
198,15,3,3,sqrt,RFR,5,SPY,2023-01-31
148,17,4,2,sqrt,RFR,5,XLP,2023-01-31
172,15,2,3,sqrt,RFR,5,XLV,2023-01-31
200,22,2,3,log2,RFR,5,VOX,2023-01-31
56,24,3,3,log2,RFR,5,XLF,2023-02-28
50,16,6,3,log2,RFR,5,XLI,2023-02-28
84,26,5,3,log2,RFR,5,SPY,2023-02-28
65,14,3,3,log2,RFR,5,XLU,2023-02-28
60,15,2,2,sqrt,RFR,5,IYR,2023-02-28
96,22,2,3,sqrt,RFR,5,XLK,2023-02-28
54,30,5,3,sqrt,RFR,5,VOX,2023-02-28
150,10,3,2,log2,RFR,5,XLY,2023-02-28
196,23,3,2,log2,RFR,5,XLP,2023-02-28
196,23,5,3,sqrt,RFR,5,XLE,2023-02-28
175,20,2,3,sqrt,RFR,5,XLB,2023-02-28
199,16,6,3,log2,RFR,5,XLV,2023-02-28
71,17,6,2,log2,RFR,5,XLF,2023-03-31
53,25,6,3,sqrt,RFR,5,XLU,2023-03-31
83,15,2,3,log2,RFR,5,XLK,2023-03-31
176,17,6,3,sqrt,RFR,5,SPY,2023-03-31
176,10,6,1,sqrt,RFR,5,IYR,2023-03-31
172,25,2,3,sqrt,RFR,5,VOX,2023-03-31
200,24,3,3,sqrt,RFR,5,XLB,2023-03-31
148,13,3,2,sqrt,RFR,5,XLP,2023-03-31
152,26,2,3,sqrt,RFR,5,XLI,2023-03-31
169,15,6,3,log2,RFR,5,XLV,2023-03-31
184,30,6,3,log2,RFR,5,XLY,2023-03-31
193,27,5,3,sqrt,RFR,5,XLE,2023-03-31
59,20,2,3,log2,RFR,5,XLI,2023-04-30
62,15,4,3,sqrt,RFR,5,XLU,2023-04-30
83,13,5,3,sqrt,RFR,5,XLB,2023-04-30
93,10,5,3,log2,RFR,5,XLF,2023-04-30
57,10,6,1,sqrt,RFR,5,IYR,2023-04-30
87,22,3,1,sqrt,RFR,5,XLP,2023-04-30
175,17,6,3,log2,RFR,5,XLK,2023-04-30
153,25,3,3,sqrt,RFR,5,SPY,2023-04-30
158,30,6,3,log2,RFR,5,XLV,2023-04-30
200,30,2,3,sqrt,RFR,5,XLE,2023-04-30
163,25,3,3,sqrt,RFR,5,VOX,2023-04-30
200,12,4,2,log2,RFR,5,XLY,2023-04-30
55,27,6,3,log2,RFR,5,XLK,2023-05-31
77,23,2,3,log2,RFR,5,XLU,2023-05-31
71,25,5,3,sqrt,RFR,5,XLF,2023-05-31
52,10,2,3,sqrt,RFR,5,XLB,2023-05-31
104,22,3,3,log2,RFR,5,XLI,2023-05-31
97,14,2,3,log2,RFR,5,VOX,2023-05-31
66,30,4,3,log2,RFR,5,IYR,2023-05-31
126,16,3,2,sqrt,RFR,5,XLY,2023-05-31
200,18,5,3,sqrt,RFR,5,SPY,2023-05-31
151,10,5,3,sqrt,RFR,5,XLE,2023-05-31
196,25,3,3,log2,RFR,5,XLV,2023-05-31
200,13,3,1,sqrt,RFR,5,XLP,2023-05-31
52,28,5,3,sqrt,RFR,5,XLF,2023-06-30
73,15,3,3,log2,RFR,5,XLB,2023-06-30
80,19,3,3,sqrt,RFR,5,XLU,2023-06-30
102,20,2,3,sqrt,RFR,5,XLI,2023-06-30
95,10,3,3,sqrt,RFR,5,VOX,2023-06-30
173,24,2,3,sqrt,RFR,5,XLK,2023-06-30
199,17,5,3,sqrt,RFR,5,SPY,2023-06-30
164,24,2,2,log2,RFR,5,XLY,2023-06-30
180,15,3,3,log2,RFR,5,XLE,2023-06-30
186,10,6,1,sqrt,RFR,5,IYR,2023-06-30
200,30,4,3,sqrt,RFR,5,XLV,2023-06-30
199,30,2,1,log2,RFR,5,XLP,2023-06-30
63,16,3,3,log2,RFR,5,XLB,2023-07-31
55,10,6,3,sqrt,RFR,5,XLF,2023-07-31
93,21,6,3,log2,RFR,5,XLI,2023-07-31
72,14,3,3,sqrt,RFR,5,VOX,2023-07-31
179,20,6,3,sqrt,RFR,5,XLU,2023-07-31
172,21,6,3,sqrt,RFR,5,XLK,2023-07-31
199,10,6,3,log2,RFR,5,SPY,2023-07-31
170,15,2,1,log2,RFR,5,XLP,2023-07-31
172,13,3,2,sqrt,RFR,5,XLY,2023-07-31
197,16,6,1,sqrt,RFR,5,IYR,2023-07-31
173,21,2,3,log2,RFR,5,XLE,2023-07-31
198,18,6,3,log2,RFR,5,XLV,2023-07-31
74,10,2,3,sqrt,RFR,5,XLK,2023-08-31
76,15,3,3,log2,RFR,5,XLB,2023-08-31
50,13,3,3,sqrt,RFR,5,VOX,2023-08-31
96,10,3,3,log2,RFR,5,XLU,2023-08-31
50,21,3,3,sqrt,RFR,5,XLF,2023-08-31
158,14,3,3,log2,RFR,5,XLI,2023-08-31
64,29,6,1,log2,RFR,5,IYR,2023-08-31
174,18,3,3,log2,RFR,5,XLV,2023-08-31
115,30,3,3,log2,RFR,5,XLY,2023-08-31
200,11,3,3,sqrt,RFR,5,XLE,2023-08-31
177,26,5,3,log2,RFR,5,SPY,2023-08-31
170,13,4,1,sqrt,RFR,5,XLP,2023-08-31
72,18,4,3,sqrt,RFR,5,XLF,2023-09-30
62,28,5,3,sqrt,RFR,5,XLK,2023-09-30
76,19,4,3,sqrt,RFR,5,XLU,2023-09-30
56,27,6,3,log2,RFR,5,SPY,2023-09-30
103,25,5,1,sqrt,RFR,5,IYR,2023-09-30
55,21,6,3,log2,RFR,5,XLB,2023-09-30
171,21,3,3,log2,RFR,5,XLI,2023-09-30
156,30,2,3,sqrt,RFR,5,XLY,2023-09-30
150,23,6,3,log2,RFR,5,VOX,2023-09-30
186,16,6,3,sqrt,RFR,5,XLV,2023-09-30
200,13,6,3,sqrt,RFR,5,XLE,2023-09-30
174,15,3,1,sqrt,RFR,5,XLP,2023-09-30
67,25,3,3,log2,RFR,5,SPY,2023-10-31
67,11,3,3,log2,RFR,5,XLB,2023-10-31
70,17,4,3,log2,RFR,5,XLF,2023-10-31
57,12,3,3,log2,RFR,5,VOX,2023-10-31
53,29,3,1,log2,RFR,5,XLP,2023-10-31
92,24,4,3,log2,RFR,5,XLY,2023-10-31
179,12,2,3,sqrt,RFR,5,XLV,2023-10-31
59,19,6,3,log2,RFR,5,IYR,2023-10-31
157,27,5,3,log2,RFR,5,XLE,2023-10-31
178,26,5,3,log2,RFR,5,XLK,2023-10-31
199,10,6,2,log2,RFR,5,XLI,2023-10-31
199,30,3,3,log2,RFR,5,XLU,2023-10-31
56,20,4,3,sqrt,RFR,5,SPY,2023-11-30
50,18,4,3,sqrt,RFR,5,XLB,2023-11-30
112,10,3,3,log2,RFR,5,VOX,2023-11-30
104,27,3,3,log2,RFR,5,XLF,2023-11-30
179,27,6,3,log2,RFR,5,XLI,2023-11-30
154,21,2,3,log2,RFR,5,XLE,2023-11-30
170,12,3,3,sqrt,RFR,5,XLK,2023-11-30
177,13,6,2,log2,RFR,5,IYR,2023-11-30
198,30,4,3,sqrt,RFR,5,XLU,2023-11-30
167,19,3,2,log2,RFR,5,XLY,2023-11-30
200,22,2,3,sqrt,RFR,5,XLV,2023-11-30
175,19,3,1,sqrt,RFR,5,XLP,2023-11-30
52,10,2,3,log2,RFR,5,XLI,2023-12-31
89,25,5,3,log2,RFR,5,SPY,2023-12-31
50,21,2,3,sqrt,RFR,5,VOX,2023-12-31
55,20,3,1,sqrt,RFR,5,XLP,2023-12-31
56,13,5,3,sqrt,RFR,5,XLB,2023-12-31
87,22,4,3,log2,RFR,5,XLU,2023-12-31
102,22,4,3,log2,RFR,5,XLF,2023-12-31
171,22,2,3,log2,RFR,5,XLK,2023-12-31
