XLE,2019-01-02 00:00:00,shap,open,price_oscillator,momentum_diff_ADX_3m_6m,momentum_diff_ROC_3m_6m,kurtosis_6m,ADX_6m,kurtosis_12m,bollinger_high_6,skewness_3m,volume
XLB,2019-01-02 00:00:00,shap,obv,momentum_diff_ADX_6m_12m,PPIACO,UMCSENT,ADX_3m,momentum_diff_RSI_3m_6m,skewness_3m,RSI_3m,ROC_48m,BOPGSTB
XLE,2019-01-02 00:00:00,causal,open,price_oscillator,skewness_3m,momentum_diff_ADX_3m_6m,RSI_6m,kurtosis_6m,ADX_6m,month,obv,FEDFUNDS
XLB,2019-01-02 00:00:00,causal,bollinger_low_6,ADX_3m,skewness_3m,BOPGSTB,price_oscillator,obv,ROC_3m,bollinger_high_3,PPIACO,momentum_diff_ROC_3m_6m
XLI,2019-01-02 00:00:00,causal,FEDFUNDS,RSI_3m,PPIACO,momentum_diff_ROC_3m_6m,kurtosis_12m,momentum_diff_ROC_12m_24m,week_of_year,skewness_12m,skewness_6m,ROC_3m
XLI,2019-01-02 00:00:00,shap,momentum_diff_ADX_6m_12m,adl,week_of_year,RSI_6m,open,month,kurtosis_6m,skewness_6m,bollinger_low_24,obv
XLE,2019-01-02 00:00:00,selectkbest,open,high,low,ROC_3m,PPO_48m,momentum_diff_ROC_3m_6m,momentum_diff_ADX_3m_6m,momentum_diff_ADX_24m_48m,GDP,CPIAUCSL
XLK,2019-01-02 00:00:00,shap,obv,momentum_diff_ROC_24m_48m,ROC_24m,bollinger_high_6,momentum_diff_ROC_3m_6m,volume,PPIACO,bollinger_high_12,ADX_48m,open
XLF,2019-01-02 00:00:00,causal,momentum_diff_ROC_3m_6m,kurtosis_12m,obv,PPIACO,PPO_3m,week_of_year,bollinger_low_6,price_oscillator,volume,momentum_diff_ROC_12m_24m
XLK,2019-01-02 00:00:00,causal,obv,bollinger_high_12,bollinger_high_6,volume,PPIACO,momentum_diff_ROC_24m_48m,price_oscillator,ADX_12m,ROC_24m,momentum_diff_ROC_3m_6m
XLE,2019-01-02 00:00:00,shap,open,price_oscillator,momentum_diff_ADX_3m_6m,momentum_diff_ROC_3m_6m,kurtosis_6m,ADX_6m,kurtosis_12m,bollinger_high_6,skewness_3m,volume
XLE,2019-01-02 00:00:00,causal,open,price_oscillator,skewness_3m,momentum_diff_ADX_3m_6m,ADX_6m,kurtosis_6m,obv,CPIAUCSL,volume,RSI_6m
XLB,2019-01-02 00:00:00,shap,obv,momentum_diff_ADX_6m_12m,PPIACO,UMCSENT,ADX_3m,momentum_diff_RSI_3m_6m,skewness_3m,RSI_3m,ROC_48m,BOPGSTB
XLK,2019-01-02 00:00:00,causal,bollinger_high_12,obv,price_oscillator,ADX_12m,bollinger_high_6,momentum_diff_ROC_24m_48m,PPIACO,volume,momentum_diff_ROC_3m_6m,ROC_24m
XLB,2019-01-02 00:00:00,causal,bollinger_low_6,ADX_3m,skewness_3m,ROC_3m,price_oscillator,BOPGSTB,bollinger_high_3,obv,RSI_3m,kurtosis_12m
XLF,2019-01-02 00:00:00,shap,open,momentum_diff_ROC_3m_6m,kurtosis_12m,obv,PPIACO,week_of_year,bollinger_high_24,ROC_24m,momentum_diff_ADX_6m_12m,momentum_diff_ROC_6m_12m
XLI,2019-01-02 00:00:00,shap,momentum_diff_ADX_6m_12m,adl,week_of_year,RSI_6m,open,month,kurtosis_6m,skewness_6m,bollinger_low_24,obv
XLE,2019-01-02 00:00:00,selectkbest,open,high,low,ROC_3m,PPO_48m,momentum_diff_ROC_3m_6m,momentum_diff_ADX_3m_6m,momentum_diff_ADX_24m_48m,GDP,CPIAUCSL
XLK,2019-01-02 00:00:00,shap,obv,momentum_diff_ROC_24m_48m,ROC_24m,bollinger_high_6,momentum_diff_ROC_3m_6m,volume,PPIACO,bollinger_high_12,ADX_48m,open
XLF,2019-01-02 00:00:00,causal,momentum_diff_ROC_3m_6m,obv,kurtosis_12m,PPIACO,week_of_year,PPO_3m,bollinger_low_6,momentum_diff_ROC_12m_24m,price_oscillator,BOPGSTB
XLI,2019-01-02 00:00:00,causal,kurtosis_12m,momentum_diff_ROC_12m_24m,RSI_3m,PPO_3m,PPIACO,T10Y2Y,momentum_diff_ROC_3m_6m,kurtosis_6m,adl,ADX_24m
XLB,2019-01-02 00:00:00,selectkbest,open,high,low,skewness_3m,ROC_3m,ADX_24m,ROC_48m,bollinger_low_6,PPIACO,obv
XLI,2019-01-02 00:00:00,selectkbest,open,high,low,ROC_12m,RSI_24m,ADX_24m,momentum_diff_ROC_24m_48m,momentum_diff_ADX_24m_48m,price_oscillator,obv
XLP,2019-01-02 00:00:00,shap,obv,bollinger_low_12,ADX_3m,momentum_diff_ROC_6m_12m,bollinger_high_6,open,PPIACO,momentum_diff_ADX_6m_12m,BOPGSTB,volume
XLF,2019-01-02 00:00:00,selectkbest,kurtosis_6m,kurtosis_12m,ROC_3m,ROC_6m,ROC_12m,ADX_24m,ADX_48m,momentum_diff_ROC_3m_6m,momentum_diff_ROC_6m_12m,BOPGSTB
XLK,2019-01-02 00:00:00,selectkbest,ADX_12m,ROC_24m,ADX_24m,ADX_48m,momentum_diff_ROC_12m_24m,momentum_diff_ADX_12m_24m,momentum_diff_ROC_24m_48m,momentum_diff_ADX_24m_48m,bollinger_high_12,TB3MS
XLP,2019-01-02 00:00:00,causal,bollinger_low_12,ADX_3m,volume,bollinger_high_6,bollinger_low_3,bollinger_high_12,momentum_diff_ADX_6m_12m,momentum_diff_ADX_3m_6m,low,momentum_diff_ROC_6m_12m
XLY,2019-01-02 00:00:00,shap,bollinger_high_12,obv,ROC_24m,MACD_3m,RSI_3m,skewness_12m,ROC_3m,ADX_3m,T10Y2Y,open
XLV,2019-01-02 00:00:00,shap,bollinger_high_3,bollinger_low_6,price_oscillator,open,adl,kurtosis_12m,ROC_3m,skewness_24m,skewness_3m,kurtosis_48m
XLY,2019-01-02 00:00:00,causal,bollinger_high_12,skewness_12m,bollinger_low_6,FEDFUNDS,T10Y2Y,RSI_3m,adl,ROC_48m,bollinger_high_3,ROC_3m
XLV,2019-01-02 00:00:00,causal,momentum_diff_RSI_12m_24m,skewness_12m,ROC_24m,bollinger_high_3,skewness_3m,bollinger_low_3,ROC_3m,low,ADX_3m,price_oscillator
XLP,2019-01-02 00:00:00,selectkbest,low,MACD_3m,ADX_3m,MACD_6m,MACD_12m,MACD_24m,MACD_48m,momentum_diff_ADX_3m_6m,momentum_diff_ADX_6m_12m,obv
XLU,2019-01-02 00:00:00,causal,ADX_3m,price_oscillator,BOPGSTB,RSI_6m,T10Y2Y,skewness_3m,RSI_12m,bollinger_high_3,week_of_year,adl
XLU,2019-01-02 00:00:00,shap,MACD_3m,price_oscillator,momentum_diff_RSI_6m_12m,momentum_diff_ROC_24m_48m,bollinger_low_6,skewness_3m,momentum_diff_RSI_3m_6m,momentum_diff_ADX_3m_6m,volume,BOPGSTB
XLV,2019-01-02 00:00:00,selectkbest,ROC_3m,ROC_6m,RSI_12m,ROC_12m,RSI_24m,momentum_diff_ROC_3m_6m,momentum_diff_RSI_12m_24m,momentum_diff_ADX_24m_48m,bollinger_high_3,bollinger_high_12
VOX,2019-01-02 00:00:00,shap,momentum_diff_ROC_6m_12m,skewness_6m,obv,RSI_6m,ROC_24m,open,volume,BOPGSTB,ADX_6m,price_oscillator
XLY,2019-01-02 00:00:00,selectkbest,open,high,low,MACD_12m,MACD_24m,MACD_48m,ROC_48m,ADX_48m,momentum_diff_ADX_24m_48m,obv
IYR,2019-01-02 00:00:00,shap,obv,ADX_6m,momentum_diff_ROC_3m_6m,momentum_diff_RSI_3m_6m,FEDFUNDS,ROC_12m,BOPGSTB,ROC_6m,week_of_year,bollinger_low_6
VOX,2019-01-02 00:00:00,causal,momentum_diff_ROC_6m_12m,low,skewness_6m,skewness_3m,kurtosis_6m,month,price_oscillator,PPO_3m,bollinger_high_12,momentum_diff_ROC_12m_24m
IYR,2019-01-02 00:00:00,causal,obv,ADX_12m,ROC_12m,BOPGSTB,TB3MS,bollinger_low_6,momentum_diff_ROC_3m_6m,skewness_3m,week_of_year,bollinger_low_12
XLU,2019-01-02 00:00:00,selectkbest,MACD_3m,RSI_6m,MACD_6m,MACD_12m,MACD_24m,MACD_48m,momentum_diff_RSI_3m_6m,momentum_diff_RSI_6m_12m,momentum_diff_RSI_12m_24m,momentum_diff_ADX_12m_24m
IYR,2019-01-02 00:00:00,selectkbest,open,high,low,PPO_6m,PPO_12m,PPO_24m,PPO_48m,bollinger_low_6,bollinger_low_12,obv
SPY,2019-01-02 00:00:00,shap,volume,kurtosis_6m,obv,momentum_diff_ROC_24m_48m,open,ROC_3m,week_of_year,RSI_24m,skewness_6m,bollinger_high_6
SPY,2019-01-02 00:00:00,causal,volume,ROC_3m,momentum_diff_ROC_24m_48m,month,bollinger_low_12,week_of_year,bollinger_high_12,T10Y2Y,TB3MS,skewness_3m
VOX,2019-01-02 00:00:00,selectkbest,open,high,low,skewness_6m,kurtosis_48m,ADX_48m,GDP,CPIAUCSL,FEDFUNDS,TB3MS
SPY,2019-01-02 00:00:00,selectkbest,open,kurtosis_48m,ROC_6m,ADX_24m,ADX_48m,momentum_diff_ROC_3m_6m,momentum_diff_ROC_6m_12m,momentum_diff_ROC_24m_48m,momentum_diff_ADX_24m_48m,obv
XLE,2019-02-01 00:00:00,shap,high,price_oscillator,momentum_diff_ADX_3m_6m,bollinger_high_6,momentum_diff_ROC_3m_6m,ROC_48m,ROC_3m,skewness_6m,PPIACO,kurtosis_24m
XLB,2019-02-01 00:00:00,causal,bollinger_low_6,ADX_3m,skewness_3m,ROC_3m,price_oscillator,BOPGSTB,RSI_3m,bollinger_high_3,momentum_diff_ROC_3m_6m,PPIACO
XLB,2019-02-01 00:00:00,shap,obv,ADX_3m,momentum_diff_ADX_6m_12m,PPIACO,RSI_3m,bollinger_low_6,momentum_diff_RSI_3m_6m,UMCSENT,open,momentum_diff_ROC_3m_6m
XLK,2019-02-01 00:00:00,shap,obv,momentum_diff_ROC_24m_48m,bollinger_high_6,volume,ROC_24m,bollinger_high_12,PPIACO,ADX_48m,momentum_diff_RSI_24m_48m,kurtosis_12m
