date,Method,ETF,RMSE
2019-01-02,causal,XLE,0.0646170996973247
2019-01-02,shap,XLE,0.0707273007127187
2019-01-02,causal,XLB,0.04474526733817616
2019-01-02,shap,XLB,0.04402843283444805
2019-01-02,causal,XLI,0.06013297808776189
2019-01-02,shap,XLF,0.041361083887220665
2019-01-02,shap,XLI,0.05678357654252753
2019-01-02,causal,XLK,0.050027226478514465
2019-01-02,shap,XLK,0.04958455779343288
2019-01-02,causal,XLF,0.04501953319090291
2019-01-02,selectkbest,XLB,0.04264184202864622
2019-01-02,selectkbest,XLE,0.06723955594261007
2019-01-02,shap,XLP,0.04035979200316197
2019-01-02,selectkbest,XLF,0.04577570338873605
2019-01-02,selectkbest,XLI,0.057111250225740706
2019-01-02,selectkbest,XLK,0.04610819552698615
2019-01-02,causal,XLP,0.03887740159473326
2019-01-02,shap,XLY,0.053924361598581334
2019-01-02,shap,XLV,0.04816965885286294
2019-01-02,causal,XLY,0.049145335097225434
2019-01-02,causal,XLV,0.048383109675458426
2019-01-02,shap,XLU,0.03442179895524947
2019-01-02,causal,XLU,0.03585833629533285
2019-01-02,selectkbest,XLP,0.03877564058134709
2019-01-02,selectkbest,XLV,0.05138425777600368
2019-01-02,shap,VOX,0.041259895892201165
2019-01-02,causal,IYR,0.038469078910546836
2019-01-02,selectkbest,XLY,0.05987678149321565
2019-01-02,shap,IYR,0.03698686150677944
2019-01-02,causal,VOX,0.03943592876923995
2019-01-02,selectkbest,IYR,0.03756585609864977
2019-01-02,selectkbest,XLU,0.03867821109719674
2019-01-02,selectkbest,VOX,0.038550074780309834
2019-01-02,shap,SPY,0.040658226732703716
2019-01-02,causal,SPY,0.04319319522404786
2019-01-02,selectkbest,SPY,0.041010601600789315
2019-02-01,shap,XLE,0.0668892212766138
2019-02-01,causal,XLB,0.049876262638555595
2019-02-01,shap,XLB,0.04586421340267804
2019-02-01,shap,XLK,0.051987771631268505
2019-02-01,causal,XLI,0.06201424883911538
2019-02-01,shap,XLI,0.06037056453865349
2019-02-01,causal,XLE,0.06817900533427626
2019-02-01,shap,XLF,0.04758199512130505
2019-02-01,selectkbest,XLE,0.06831989844029687
2019-02-01,causal,XLF,0.051838175259715465
2019-02-01,causal,XLK,0.050096927824816825
2019-02-01,selectkbest,XLI,0.06128341836890905
2019-02-01,shap,XLP,0.04292304184234061
2019-02-01,causal,XLP,0.0445747071592515
2019-02-01,selectkbest,XLB,0.045792150445949004
2019-02-01,selectkbest,XLK,0.05324577323672005
2019-02-01,selectkbest,XLF,0.05101198868855229
2019-02-01,shap,XLY,0.05726546982844098
2019-02-01,shap,XLV,0.05029843948941239
2019-02-01,shap,XLU,0.028120304895125563
2019-02-01,causal,XLY,0.057890756435348724
2019-02-01,selectkbest,XLP,0.04232468220569824
2019-02-01,causal,XLV,0.05035935165182583
2019-02-01,causal,IYR,0.046652216438600506
2019-02-01,causal,XLU,0.030109148633288008
2019-02-01,shap,IYR,0.046156315658442096
2019-02-01,shap,VOX,0.045632818505551585
2019-02-01,selectkbest,XLV,0.051950215322429716
2019-02-01,selectkbest,XLY,0.05916120475989806
2019-02-01,causal,VOX,0.04706002724483008
2019-02-01,selectkbest,XLU,0.03007236407221608
2019-02-01,selectkbest,IYR,0.045222773260282664
2019-02-01,selectkbest,VOX,0.04245718785710421
2019-02-01,shap,SPY,0.041050503525060435
2019-02-01,causal,SPY,0.04691731607406199
2019-02-01,selectkbest,SPY,0.04259049760465844
2019-03-01,causal,XLI,0.06519449795011377
2019-03-01,shap,XLI,0.06175805945963691
2019-03-01,shap,XLB,0.044481569764040496
2019-03-01,shap,XLE,0.06463319317054468
2019-03-01,causal,XLE,0.06941424146964002
2019-03-01,shap,XLF,0.04367413973524278
2019-03-01,causal,XLB,0.04507247971523721
2019-03-01,shap,XLK,0.05278496673517994
2019-03-01,causal,XLK,0.05195527031037761
2019-03-01,shap,XLP,0.043696692378802277
2019-03-01,selectkbest,XLE,0.06473149857318433
