ETF,causal,selectkbest,shap
IYR,0.04076799454876152,0.03947936425827841,0.041494941124193524
SPY,0.045133069915452725,0.04276810092772084,0.04404828814707236
VOX,0.04603680097475219,0.04284274164273802,0.04521474792723001
XLB,0.04775649183497635,0.04851772113412538,0.04692604301509962
XLE,0.06496699331768416,0.06439938969821056,0.06546134167026797
XLF,0.055498118003091526,0.056569560834706364,0.05278988657148499
XLI,0.06345643802679737,0.061411587599651714,0.06201177434024088
XLK,0.05774752377921433,0.05937979460608878,0.056431306582064855
XLP,0.03851670892374121,0.03808538296835904,0.041141887910571856
XLU,0.028378793954514987,0.028914753977678755,0.02625114252647629
XLV,0.046114415770195885,0.04977652182531163,0.04772747084712907
XLY,0.05294158655710242,0.056621675777738974,0.05280733813518215
