n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,Modelo,Metodo,ETF,date
200,6,3,sqrt,30,RFR,0,XLE,2019-12-31
50,2,3,sqrt,10,RFR,0,XLE,2019-12-31
200,6,3,sqrt,30,RFR,0,XLE,2019-12-31
100,4,3,log2,30,RFR,0,XLB,2019-12-31
200,6,3,sqrt,30,RFR,0,XLB,2019-12-31
200,6,3,sqrt,30,RFR,0,XLB,2019-12-31
200,4,1,sqrt,20,RFR,0,XLI,2019-12-31
200,6,3,sqrt,30,RFR,0,XLI,2019-12-31
50,2,3,sqrt,10,RFR,0,XLI,2019-12-31
200,6,3,sqrt,30,RFR,0,XLK,2019-12-31
100,4,3,log2,30,RFR,0,XLK,2019-12-31
200,6,3,sqrt,30,RFR,0,XLK,2019-12-31
200,6,3,sqrt,30,RFR,0,XLE,2019-12-31
200,6,3,sqrt,30,RFR,0,XLB,2019-12-31
100,4,3,log2,30,RFR,0,XLI,2019-12-31
200,6,3,sqrt,30,RFR,0,XLK,2019-12-31
100,4,3,log2,30,RFR,0,XLF,2019-12-31
100,4,3,log2,30,RFR,0,XLF,2019-12-31
100,4,3,log2,30,RFR,0,XLF,2019-12-31
50,2,3,sqrt,10,RFR,0,XLP,2019-12-31
50,2,3,sqrt,10,RFR,0,XLP,2019-12-31
200,4,1,sqrt,20,RFR,0,XLP,2019-12-31
50,4,2,log2,10,RFR,0,XLY,2019-12-31
50,2,3,sqrt,10,RFR,0,XLY,2019-12-31
200,6,3,sqrt,30,RFR,0,XLY,2019-12-31
100,4,3,log2,30,RFR,0,XLF,2019-12-31
200,6,3,sqrt,30,RFR,0,XLV,2019-12-31
200,6,3,sqrt,30,RFR,0,XLV,2019-12-31
100,6,2,log2,30,RFR,0,XLP,2019-12-31
200,6,3,sqrt,30,RFR,0,XLV,2019-12-31
200,6,3,sqrt,30,RFR,0,XLY,2019-12-31
200,6,3,sqrt,30,RFR,0,XLU,2019-12-31
50,2,3,sqrt,10,RFR,0,XLU,2019-12-31
200,6,3,sqrt,30,RFR,0,XLU,2019-12-31
100,4,3,log2,30,RFR,0,IYR,2019-12-31
200,6,3,sqrt,30,RFR,0,XLV,2019-12-31
200,2,2,log2,30,RFR,0,IYR,2019-12-31
100,4,3,log2,30,RFR,0,IYR,2019-12-31
200,6,3,sqrt,30,RFR,0,VOX,2019-12-31
50,4,2,log2,10,RFR,0,VOX,2019-12-31
200,6,3,sqrt,30,RFR,0,XLU,2019-12-31
200,6,3,sqrt,30,RFR,0,VOX,2019-12-31
200,6,3,sqrt,30,RFR,0,SPY,2019-12-31
100,6,2,log2,30,RFR,0,IYR,2019-12-31
200,6,3,sqrt,30,RFR,0,SPY,2019-12-31
50,2,3,sqrt,10,RFR,0,SPY,2019-12-31
200,4,1,sqrt,20,RFR,0,VOX,2019-12-31
200,6,3,sqrt,30,RFR,0,SPY,2019-12-31
200,6,3,sqrt,30,RFR,0,XLE,2020-01-31
200,6,3,sqrt,30,RFR,0,XLE,2020-01-31
200,6,3,sqrt,30,RFR,0,XLE,2020-01-31
200,6,3,sqrt,30,RFR,0,XLB,2020-01-31
100,4,3,log2,30,RFR,0,XLB,2020-01-31
100,4,3,log2,30,RFR,0,XLB,2020-01-31
100,6,2,log2,30,RFR,0,XLI,2020-01-31
200,6,3,sqrt,30,RFR,0,XLI,2020-01-31
200,6,3,sqrt,30,RFR,0,XLI,2020-01-31
200,6,3,sqrt,30,RFR,0,XLK,2020-01-31
200,6,3,sqrt,30,RFR,0,XLK,2020-01-31
200,6,3,sqrt,30,RFR,0,XLK,2020-01-31
50,2,3,sqrt,10,RFR,0,XLE,2020-01-31
200,6,3,sqrt,30,RFR,0,XLB,2020-01-31
100,6,2,log2,30,RFR,0,XLI,2020-01-31
200,6,3,sqrt,30,RFR,0,XLK,2020-01-31
100,4,3,log2,30,RFR,0,XLF,2020-01-31
100,4,3,log2,30,RFR,0,XLF,2020-01-31
50,2,3,sqrt,10,RFR,0,XLF,2020-01-31
200,6,3,sqrt,30,RFR,0,XLP,2020-01-31
200,4,1,sqrt,20,RFR,0,XLP,2020-01-31
50,6,2,log2,20,RFR,0,XLP,2020-01-31
200,6,3,sqrt,30,RFR,0,XLY,2020-01-31
200,6,3,sqrt,30,RFR,0,XLY,2020-01-31
50,2,3,sqrt,10,RFR,0,XLY,2020-01-31
200,6,3,sqrt,30,RFR,0,XLF,2020-01-31
200,6,3,sqrt,30,RFR,0,XLV,2020-01-31
200,6,3,sqrt,30,RFR,0,XLV,2020-01-31
100,4,3,log2,30,RFR,0,XLP,2020-01-31
200,6,3,sqrt,30,RFR,0,XLY,2020-01-31
200,6,3,sqrt,30,RFR,0,XLV,2020-01-31
200,6,3,sqrt,30,RFR,0,XLU,2020-01-31
200,6,3,sqrt,30,RFR,0,XLU,2020-01-31
200,6,3,sqrt,30,RFR,0,XLU,2020-01-31
100,4,3,log2,30,RFR,0,IYR,2020-01-31
50,2,3,sqrt,10,RFR,0,IYR,2020-01-31
200,6,3,sqrt,30,RFR,0,XLV,2020-01-31
100,4,3,log2,30,RFR,0,IYR,2020-01-31
50,2,3,sqrt,10,RFR,0,VOX,2020-01-31
200,6,3,sqrt,30,RFR,0,VOX,2020-01-31
50,2,3,sqrt,10,RFR,0,VOX,2020-01-31
200,6,3,sqrt,30,RFR,0,XLU,2020-01-31
200,6,3,sqrt,30,RFR,0,SPY,2020-01-31
50,4,2,log2,10,RFR,0,IYR,2020-01-31
200,6,3,sqrt,30,RFR,0,SPY,2020-01-31
200,4,1,sqrt,20,RFR,0,VOX,2020-01-31
200,6,3,sqrt,30,RFR,0,SPY,2020-01-31
200,6,3,sqrt,30,RFR,0,SPY,2020-01-31
200,6,3,sqrt,30,RFR,0,XLE,2020-02-29
200,6,3,sqrt,30,RFR,0,XLE,2020-02-29
200,6,3,sqrt,30,RFR,0,XLE,2020-02-29
200,6,3,sqrt,30,RFR,0,XLB,2020-02-29
200,6,3,sqrt,30,RFR,0,XLB,2020-02-29
100,4,3,log2,30,RFR,0,XLB,2020-02-29
200,4,1,sqrt,20,RFR,0,XLI,2020-02-29
200,6,3,sqrt,30,RFR,0,XLI,2020-02-29
200,6,3,sqrt,30,RFR,0,XLI,2020-02-29
100,4,3,log2,30,RFR,0,XLK,2020-02-29
200,6,3,sqrt,30,RFR,0,XLK,2020-02-29
200,6,3,sqrt,30,RFR,0,XLK,2020-02-29
200,6,3,sqrt,30,RFR,0,XLE,2020-02-29
