ETF,causal,estatico,selectkbest,shap
IYR,0.06309635779925929,0.0633147758909994,0.0633147758909994,0.06319162457974124
SPY,0.05806852600415814,0.05806852600415814,0.05806852600415814,0.05806852600415814
VOX,0.06239172684676087,0.06236041963108532,0.06096829218568314,0.06224512340613796
XLB,0.06916738532085707,0.06923342698981422,0.06878499580814056,0.06923342698981422
XLE,0.13860498342895822,0.13903367237438277,0.13889949563506146,0.13880324908102543
XLF,0.0795979791865195,0.0795979791865195,0.08049252264505315,0.0795979791865195
XLI,0.07222882228841197,0.07222882228841197,0.07222882228841197,0.07222882228841197
XLK,0.06294235733028025,0.06294235733028025,0.06294235733028025,0.06294235733028025
XLP,0.03836374592960471,0.039862229463810524,0.03887871714230469,0.0379439114904013
XLU,0.04973996959858359,0.050004895686523006,0.049976665299204685,0.04889805180995842
XLV,0.045571591085160595,0.045773445846791105,0.04578306512260307,0.0457464748617615
XLY,0.06922079484702356,0.06922079484702356,0.06922079484702356,0.06922079484702356
