subsample,reg_lambda,reg_alpha,n_estimators,max_depth,learning_rate,gamma,colsample_bytree,Modelo,Metodo,ETF,date
0.6,1.5,0.1,25,7,0.01,0,0.5,XGBR,0,XLE,2019-12-31
0.8,1.5,0.1,25,7,0.05,0,0.7,XGBR,0,XLB,2019-12-31
0.6,1,0,25,7,0.05,0.5,0.5,XGBR,0,XLB,2019-12-31
0.6,1,0,25,7,0.05,0.5,0.5,XGBR,0,XLB,2019-12-31
0.6,1,0,25,7,0.05,0.5,0.5,XGBR,0,XLB,2019-12-31
0.6,1,0,25,7,0.05,0.5,0.5,XGBR,0,XLI,2019-12-31
0.6,1,0,25,7,0.05,0.5,0.5,XGBR,0,XLI,2019-12-31
0.6,1,0,25,7,0.05,0.5,0.5,XGBR,0,XLI,2019-12-31
0.6,1,0,25,7,0.05,0.5,0.5,XGBR,0,XLI,2019-12-31
0.6,1.5,0.1,25,7,0.01,0,0.5,XGBR,0,XLE,2019-12-31
0.6,1,0,25,7,0.05,0.5,0.5,XGBR,0,XLK,2019-12-31
0.6,1,0,25,7,0.05,0.5,0.5,XGBR,0,XLK,2019-12-31
0.6,1,0.1,25,7,0.05,0.5,0.7,XGBR,0,XLE,2019-12-31
0.6,1,0,25,7,0.05,0.5,0.5,XGBR,0,XLK,2019-12-31
0.6,1.5,0.1,25,7,0.01,0,0.5,XGBR,0,XLE,2019-12-31
0.6,1,0,25,7,0.05,0.5,0.5,XGBR,0,XLK,2019-12-31
0.6,1,0,25,7,0.05,0.5,0.5,XGBR,0,XLF,2019-12-31
0.6,1,0,25,7,0.05,0.5,0.5,XGBR,0,XLF,2019-12-31
0.8,1.5,0.1,25,7,0.05,0,0.7,XGBR,0,XLF,2019-12-31
0.8,1.5,0.1,25,7,0.05,0,0.7,XGBR,0,XLP,2019-12-31
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,0,XLP,2019-12-31
0.6,1,0,25,7,0.05,0.5,0.5,XGBR,0,XLF,2019-12-31
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,0,XLP,2019-12-31
0.6,1,0,25,7,0.05,0.5,0.5,XGBR,0,XLP,2019-12-31
0.6,1.5,0.1,500,7,0.01,0.5,0.7,XGBR,0,XLY,2019-12-31
0.6,1,0,25,7,0.05,0.5,0.5,XGBR,0,XLV,2019-12-31
0.6,1.5,0.1,500,7,0.01,0.5,0.7,XGBR,0,XLY,2019-12-31
0.6,1.5,0.1,500,7,0.01,0.5,0.7,XGBR,0,XLY,2019-12-31
