date,open,high,low,close,volume,dividend,split,gains,etf
2006-09-01,21.523343381358263,21.847611892737092,21.489564606092642,21.74627685546875,2947400,0.0,0.0,0.0,XLB
2006-09-05,21.753034678156684,21.948947716128536,21.753034678156684,21.874635696411133,3501700,0.0,0.0,0.0,XLB
2006-09-06,21.726013105217714,21.780059151181096,21.58414610014981,21.604412078857422,3840900,0.0,0.0,0.0,XLB
2006-09-07,21.44903156375637,21.516587826387294,21.293653061675222,21.367963790893555,2999100,0.0,0.0,0.0,XLB
2006-09-08,21.280139923095703,21.523341934545897,21.280139923095703,21.44902992248535,2810700,0.0,0.0,0.0,XLB
2006-09-11,21.31391338625311,21.31391338625311,20.780221758908535,20.874799728393555,7744100,0.0,0.0,0.0,XLB
2006-09-12,20.8748037402581,21.131517261808984,20.868047985635343,21.118005752563477,5245600,0.0,0.0,0.0,XLB
2006-09-13,21.11124788286116,21.35444987080078,21.063958893768085,21.266626358032227,1971200,0.0,0.0,0.0,XLB
2006-09-14,21.226100631544124,21.259878124694048,21.11801110722985,21.199077606201172,2671900,0.0,0.0,0.0,XLB
2006-09-15,21.248681461787516,21.32342809968655,21.180728912353516,21.180728912353516,4258800,0.183,0.0,0.0,XLB
2006-09-18,21.269063162587386,21.59523509224251,21.214701390326013,21.43894386291504,3340200,0.0,0.0,0.0,XLB
2006-09-19,21.41176386460655,21.43215001546544,21.10597808215769,21.16713523864746,5340600,0.0,0.0,0.0,XLB
2006-09-20,21.13316548848264,21.445745445314515,21.13316548848264,21.35061264038086,7781000,0.0,0.0,0.0,XLB
2006-09-21,21.201109745200206,21.43214757764036,21.133157212820144,21.160337448120117,2955300,0.0,0.0,0.0,XLB
2006-09-22,21.065198092038305,21.262260244698176,21.051607330595623,21.13994598388672,2492900,0.0,0.0,0.0,XLB
2006-09-25,21.13315788029756,21.282652419385983,20.840962889095234,21.25547218322754,3230700,0.0,0.0,0.0,XLB
2006-09-26,21.235081723312828,21.703952690667805,21.235081723312828,21.67677116394043,3348800,0.0,0.0,0.0,XLB
2006-09-27,21.778700218803852,21.792290982742784,21.48650657063632,21.62920570373535,4785400,0.0,0.0,0.0,XLB
2006-09-28,21.669978689865605,21.73793121971516,21.581641308321878,21.690364837646484,1853100,0.0,0.0,0.0,XLB
2006-09-29,21.6088246343581,21.669981790364275,21.50010108947754,21.50010108947754,2764300,0.0,0.0,0.0,XLB
2006-10-02,21.4049712904928,21.649599948560578,21.370995664022082,21.540876388549805,1882200,0.0,0.0,0.0,XLB
2006-10-03,21.391375956193343,21.391375956193343,21.221495267920993,21.25547218322754,4682500,0.0,0.0,0.0,XLB
2006-10-04,21.16712779242638,21.33700843489543,21.044813522474833,21.28944206237793,5462200,0.0,0.0,0.0,XLB
2006-10-05,21.303035145720486,21.663181317496097,21.303035145720486,21.62920570373535,1997200,0.0,0.0,0.0,XLB
2006-10-06,21.01763613817253,21.744725178970498,21.01763613817253,21.73113441467285,2340100,0.0,0.0,0.0,XLB
2006-10-09,21.778699255558788,22.043712660213824,21.758314406638572,21.90781021118164,2531900,0.0,0.0,0.0,XLB
2006-10-10,21.86023931605941,22.016531784578074,21.74472172613229,22.009735107421875,1862400,0.0,0.0,0.0,XLB
2006-10-11,21.83986082295874,21.921402827346924,21.629209132854673,21.812679290771484,4651900,0.0,0.0,0.0,XLB
2006-10-12,21.894227092915624,22.070901893652973,21.846660700710416,22.03692626953125,2523600,0.0,0.0,0.0,XLB
2006-10-13,22.070892609979335,22.349496758066632,22.050507762515565,22.254364013671875,2762600,0.0,0.0,0.0,XLB
2006-10-16,22.32231841573844,22.458223466609056,22.31552432967287,22.41745376586914,1602800,0.0,0.0,0.0,XLB
2006-10-17,22.444639007636777,22.444639007636777,22.084492725001653,22.261167526245117,2855600,0.0,0.0,0.0,XLB
2006-10-18,22.4582249489943,22.465021627681736,22.138851039366877,22.17962074279785,2079800,0.0,0.0,0.0,XLB
2006-10-19,22.193206072686298,22.37667746971215,22.145639702217313,22.329111099243164,2808400,0.0,0.0,0.0,XLB
