date,open,high,low,close,volume,dividend,split,gains,etf
2006-09-01,26.119092214887747,26.324940041208848,26.119092214887747,26.277435302734375,1149400,0.0,0.0,0.0,XLY
2006-09-05,26.2774328803085,26.372442348498847,26.26159796894344,26.35660743713379,851800,0.0,0.0,0.0,XLY
2006-09-06,26.24575867142229,26.269509521667302,26.031991958618164,26.031991958618164,1289400,0.0,0.0,0.0,XLY
2006-09-07,25.90531479207543,26.261589613737453,25.90531479207543,26.119081497192383,1154800,0.0,0.0,0.0,XLY
2006-09-08,26.063666107181007,26.35660743713379,26.047834216016476,26.35660743713379,353000,0.0,0.0,0.0,XLY
2006-09-11,26.356598853929288,26.625786219071536,26.253673473675022,26.56244659423828,825600,0.0,0.0,0.0,XLY
2006-09-12,26.562450942751315,27.21958606707734,26.562450942751315,27.18000030517578,2274100,0.0,0.0,0.0,XLY
2006-09-13,27.211659903822085,27.338336120515322,27.12456943855813,27.290834426879883,2223600,0.0,0.0,0.0,XLY
2006-09-14,27.29083717182327,27.29083717182327,27.005814900545815,27.219581604003906,1107300,0.0,0.0,0.0,XLY
2006-09-15,27.34332619219537,27.414718807292815,27.192606768096127,27.335391998291016,2980500,0.066,0.0,0.0,XLY
2006-09-18,27.264000497654404,27.303662390772374,27.08948756273365,27.192607879638672,1936200,0.0,0.0,0.0,XLY
2006-09-19,27.20847843439619,27.248140335083008,27.05776200138267,27.248140335083008,1718700,0.0,0.0,0.0,XLY
2006-09-20,27.327469290504975,27.517847639030418,27.327469290504975,27.446455001831055,1603900,0.0,0.0,0.0,XLY
2006-09-21,27.549579957541805,27.581310692791465,27.20848211863165,27.295740127563477,2827100,0.0,0.0,0.0,XLY
2006-09-22,27.295736766825847,27.295736766825847,27.073627699443946,27.271940231323242,2897100,0.0,0.0,0.0,XLY
2006-09-25,27.335389255254984,27.7875414301637,27.263996647321605,27.692352294921875,2221000,0.0,0.0,0.0,XLY
2006-09-26,27.62890313166624,27.938270194300113,27.589238204859594,27.930335998535156,1947500,0.0,0.0,0.0,XLY
